"x","freq"
"12",1
"120",2
"15",1
"1910-",1
"20",1
"200",1
"2019",1
"30",2
"300",1
"31",1
"400",1
"7-",1
"Chef",1
"Donut",1
"ELEVEN",1
"icash",6
"M",1
"Mister",1
"OPEN",2
"POINT",2
"Q版",6
"Rino",1
"Top",1
"一次",1
"一筆",1
"一銀",2
"二入",1
"下來",1
"小編",2
"中油",3
"之外",1
"之前",1
"今天",1
"元",5
"內容",1
"友",1
"友若",1
"天內",2
"天天",2
"尤其",1
"戶",1
"手上",1
"日",1
"主角",1
"以上",1
"加油",3
"加值",1
"加碼",1
"加辦",1
"卡",2
"卡片",2
"卡面",3
"卡優",2
"可愛",2
"正",1
"申辦",5
"份",1
"合併",1
"吋",1
"回饋",1
"地區",1
"好",1
"好養",1
"好禮",7
"年",2
"年免",1
"年費",3
"收藏",1
"次",1
"次年",2
"自動",1
"行李箱",1
"兌換券",1
"即免",1
"即贈",1
"含",2
"完成",1
"快快",1
"每筆",1
"並以",1
"兩個",1
"刷卡",1
"咖啡",1
"底色",1
"東方",1
"金",1
"金額",1
"金額滿",1
"附卡",1
"後",1
"指定",1
"星展",1
"活力",1
"相同",1
"紀念",3
"紅",1
"紅利",3
"要來",1
"限量",3
"飛行",1
"首刷禮",1
"倍",3
"原先",2
"唷",1
"拿到",2
"核卡",2
"消費",8
"真的",1
"笑",1
"送",3
"圈",2
"專屬",1
"推出",1
"梅花鹿",1
"現金回饋",1
"甜甜",2
"第一",3
"累計",1
"累積",1
"統一",1
"販",2
"這張",1
"通路",2
"鹿為",1
"鹿鹿",1
"喔",1
"單筆",1
"就免",1
"最高",2
"湯鍋",1
"發行",1
"筆",1
"等值",1
"象徵",1
"超市",3
"週六",1
"週日",1
"週年",1
"量",2
"量販",1
"開卡",1
"集團",1
"黑晶",1
"愛心",1
"新",2
"新戶",2
"新聞網",2
"新臺幣",1
"新增",1
"經典",1
"達",1
"電子爐",1
"嘉年華",1
"圖",2
"實際",1
"歌林",1
"滿仟",2
"算是",1
"網路",1
"銀行",2
"德式",1
"熱情",1
"適用",1
"優惠",2
"獲得",2
"聯名卡",6
"還可",1
"還拿著",1
"韓",1
"點",1
"點數",2
"禮",1
"禮五選",1
"舊卡",2
"雙耳",1
"權益",1
"歡慶",1
"鑄鐵",1
