"x","freq"
"01",1
"02",1
"03",1
"04",1
"05",1
"15",1
"2018",1
"2018-09-16",1
"2019-03-03",1
"24",1
"50",1
"Apple",1
"ATM",1
"MUJI",1
"Pay",1
"PTT",3
"Seafood",1
"SEAFOOD",2
"STEP",5
"VISA",3
"vs",4
"Yueh",1
"一早",1
"一律",1
"一面倒",1
"一張",4
"一種",3
"一覽表",1
"七隻",1
"人",2
"三年",1
"上方",1
"大喊",1
"大幅",1
"大學",1
"大獲",1
"小",1
"工本費",2
"工作",1
"已",2
"不一",1
"不多",1
"不好",1
"不到",2
"不想",1
"不離手",1
"不難看出",1
"中信",1
"中華",3
"之下",1
"內心",1
"分行",1
"分享",2
"分鐘",1
"升級成",1
"天",1
"太醜",2
"引起",1
"心得",1
"手刀",1
"支付",1
"方式",2
"日起",1
"月",1
"比較",1
"王道",1
"以下",2
"以往",2
"出門",1
"功能",2
"加收",1
"加映",1
"包含",3
"卡",12
"卡片",10
"卡面",11
"只",2
"叫號",2
"可惡",1
"可愛",2
"左上角",1
"打工",1
"生活費",1
"立即",1
"交易",3
"交易方式",1
"交給",2
"先直",1
"先前",1
"全台",3
"全新",3
"再",1
"印象",1
"印鑑",5
"同場",1
"同學",1
"回收",1
"回報",1
"回想",1
"在意",1
"多組",1
"好",1
"好看",1
"好評",2
"字",1
"存摺",1
"安全",2
"成功",1
"成績",1
"行員",4
"作廢",1
"冷凍",1
"即時",3
"困擾",1
"完了",1
"完成",1
"局則",1
"忍不住",1
"忘",1
"我哥",1
"找",2
"更換",1
"更新",1
"步驟",2
"身份證",1
"身邊",1
"並不低",1
"使用",5
"使用者",1
"來得",1
"來源",1
"來說",1
"兩組",1
"兩種",2
"刷卡",3
"協助",2
"取的",1
"受理",1
"店員",1
"所有",1
"所謂",1
"抽取",1
"抽屜",1
"放到",1
"服裝",1
"注意",1
"爸媽",1
"物品",2
"直接",1
"知識",1
"社群",1
"糾結",1
"表示",2
"金",1
"金融",4
"非",1
"亮眼",1
"保守",1
"保留",1
"信用卡",4
"則只",1
"前",2
"前往",3
"卻",1
"宣布",1
"後",1
"指示",1
"指定",1
"流程",2
"相比",1
"相較",1
"看到",1
"穿著",1
"突破",1
"美美",1
"限定",1
"風格",2
"原有",1
"原留",2
"差別",1
"拿到",1
"時才",1
"時期",1
"時間",2
"校內",1
"核",1
"核對",1
"特點",1
"真正",1
"真的",1
"討論",1
"陣子",1
"國外",1
"密碼",2
"將由",1
"將於",1
"帳戶",1
"帳號",1
"帶上",2
"張",1
"張呢",1
"彩虹",1
"情況",1
"排排站",1
"接納",1
"控一",1
"教學",1
"第一張",1
"細看",1
"處理",2
"設定",1
"設計",7
"透過",1
"這種",1
"通常",1
"喊聲",1
"幾篇",1
"提款",2
"插卡",1
"插畫",1
"換",1
"換卡",4
"換好",1
"晶片",1
"曾",1
"曾經",1
"最後",1
"發卡",3
"發行",1
"發表",1
"稍",1
"等待",3
"紫",1
"紫卡",6
"紫卡二選一",1
"給人",1
"評價",1
"超級",1
"進行",1
"郵局",10
"郵政",6
"鄉民",1
"開放",2
"間",1
"項",1
"傳統",1
"募資",1
"想",2
"想換",1
"惹",1
"感應式",5
"搞定",1
"搭配",1
"新",2
"新密碼",1
"新舊",1
"準備",1
"當初",1
"群眾",1
"萱",1
"號碼牌",1
"補充",1
"補辦",1
"裡",1
"資料",1
"跳脫",1
"預算",1
"圖片",1
"實在",1
"實體",2
"嶄新",1
"截然不同",1
"截圖",1
"綠",3
"綠卡",3
"綠鴿",2
"網友",1
"說",2
"說明",1
"趕緊",1
"輕鬆",1
"銀行",1
"需",2
"需要",2
"領取",2
"熱騰騰",1
"獎學金",1
"確認",1
"締造",1
"請",2
"遮臉",1
"鄰近",1
"整個",1
"燒到",1
"辦理",2
"選",1
"選擇",2
"遺失",1
"錢包",1
"頻率",1
"龜毛",1
"應該",2
"營業時間",1
"聯名卡",1
"醜醜",1
"鴿",3
"鴿子",1
"櫃員",1
"舊卡",4
"舊版",1
"簽名",1
"願意",1
"釋出",1
"囉",1
"讀卡機",2
"體",1
