"x","freq"
"10",3
"10-12",1
"2019",1
"3.0",3
"30",3
"50",1
"Bankee",10
"e",1
"一人",1
"一起",2
"一張",1
"一筆",1
"人",3
"入手",1
"上限",2
"上網",1
"下去",1
"下面",1
"小",3
"小編",5
"不用",1
"介紹",1
"公用",1
"升級",1
"心",1
"手繪",1
"月底",2
"主打",2
"代表",1
"出國",2
"加入",1
"加溫",1
"加碼",2
"卡",5
"卡中",1
"卡有",1
"卡面",1
"台幣",1
"市面上",1
"市場",1
"必備",1
"正向",1
"申辦",5
"立即",1
"先刷",1
"先贏",1
"全",1
"全台",2
"吉祥物",1
"回饋",17
"多神",1
"好",1
"成功",1
"利用",1
"即可",1
"即享",1
"吸引",1
"完全",1
"攻佔",1
"那一刻",1
"享",2
"享有",2
"刷",3
"刷卡",6
"官方",1
"怕麻煩",1
"放大",2
"知道",1
"社群",5
"花旗",1
"金",1
"信用卡",8
"前",5
"勇於",1
"後",1
"活動",4
"相較",1
"限制",1
"限時",3
"風格",1
"首張",1
"倍",2
"拿到",1
"旅遊",2
"時間",1
"核卡",1
"海外",9
"海神",4
"消費",3
"真的",1
"神卡",3
"起飛",1
"唯一",1
"商銀",1
"國",1
"基金",1
"推廣",1
"推薦",1
"現在",1
"球",1
"第一",1
"累積下來",1
"逐夢",1
"這張",2
"通路",2
"連結",1
"報",2
"提撥",1
"揪",1
"最高",3
"最愛",1
"期間",2
"棒",1
"無形中",1
"無腦",1
"登錄",1
"紫色",1
"結論",1
"著小編",1
"象徵",1
"超值",1
"開跑",1
"想",1
"愈",1
"感情",1
"感覺",2
"搭乘",1
"搶辦",2
"搶鮮",2
"新",1
"圖",3
"精打細算",1
"精神",1
"說",1
"趕緊",1
"遠",1
"遠東",1
"銀",1
"銀行",1
"熱汽",1
"編出",1
"編目",1
"擁有",1
"整個",2
"獨特",1
"親友",1
"親友們",1
"辦",1
"辦卡",1
"選擇",1
"優惠",2
"幫",1
"舉辦",1
"還沒",1
"還無",1
"點",1
"點金",1
"點數",3
"點擊",1
"簡單",1
"飆升",1
"囉",1
"變成",2
"讚",2
