"x","freq"
"0101",3
"1.",2
"1.5",2
"10",5
"100",1
"12",1
"2.",2
"2.5",1
"2018",1
"2018-08-20",1
"2019-08-22",1
"210",1
"3.",2
"30",1
"31",1
"4.",2
"5.",1
"590",1
"8-12",2
"900",2
"95",1
"App",1
"buffet",1
"CARD",1
"Dollar",8
"EPOS",2
"icash",1
"JCB",11
"MasterCard",1
"MUJI",17
"or",1
"Passport",1
"Pi",1
"PTT",2
"Uber",1
"Visa",1
"VISA",2
"Yueh",1
"一人",1
"一卡通",1
"一些",1
"一覽",1
"人員",1
"人稱",1
"三選",1
"上述",2
"上限",2
"下",1
"下次",1
"下載",1
"丸",1
"丸井",2
"大三",1
"大戶",1
"大學",1
"小白",1
"小東西",1
"已",3
"不高",1
"不錯",1
"中心",1
"中信",6
"中國信託",5
"之次",1
"井",1
"今天",1
"今年",5
"介紹",1
"元",5
"六百",1
"分別",1
"分享",1
"心得",2
"手續費",4
"方式",1
"日本",7
"日前",1
"月",9
"月底",1
"止",1
"主打",1
"主動",2
"出國",1
"功能",1
"半年",2
"半個",1
"卡",15
"卡友",2
"卡片",3
"卡加",2
"卡有",1
"卡別",1
"卡享",1
"卡來",1
"卡板",1
"卡為",1
"卡面",2
"卡消費",1
"去年",1
"去年底",1
"只",1
"可於",1
"可得",1
"台灣",1
"台灣虎航",1
"右邊",1
"外",2
"平常",1
"本卡",2
"玉山",1
"生日",10
"用戶",2
"申請",3
"申辦",3
"白金卡",5
"目前",1
"交代",1
"交易",2
"先",1
"光速",1
"再",1
"再於",1
"印卡友",2
"同行",1
"同事",1
"回饋",5
"好",1
"好用",1
"好幾個",1
"年度",2
"年頭",1
"成功",3
"扣除",1
"有用",1
"有次",1
"有點",1
"百位",1
"百貨",5
"低",1
"免",2
"免年費",2
"免費",1
"即可",2
"困難",1
"完畢",1
"完整",1
"折",6
"折扣",1
"折抵",4
"折是",1
"更是",1
"更新",1
"步驟",1
"每人",1
"每月",1
"每個",1
"每滿",1
"身",1
"身份",2
"那年",1
"並不",1
"享",4
"享有",3
"享免",1
"使用",3
"來說",4
"兩人",1
"兩張",1
"兩款",1
"刷",1
"刷卡",2
"取得",1
"取捨",1
"和晶",1
"官網",2
"店員",2
"延伸",1
"拍",1
"放寬",1
"明年",1
"直接",1
"近年",1
"金額",3
"門市",6
"門檻",1
"附加",1
"信用卡",3
"前",4
"建議",3
"持",4
"是晶",1
"某天",1
"查詢",1
"活動",2
"派上用場",1
"為準",1
"相當",2
"相關",1
"省下",1
"看準",1
"紅",1
"紅色",1
"要用",1
"計算",2
"重點",1
"值",2
"值得一提",1
"弱",1
"拿到",2
"旅遊",4
"時刷",1
"時期",1
"核卡",1
"案例",2
"海外",5
"消費",15
"特色",1
"特別",1
"神卡",1
"粉絲",1
"能線",1
"記得",1
"迴響",1
"針對",1
"陣子",1
"高",1
"高度",1
"做",1
"偽裝成",1
"參加",1
"商品",1
"問我",1
"國內外",1
"將於",1
"專用",1
"專屬",2
"帳戶",1
"帳單",2
"常見",1
"御璽",1
"悠遊",5
"掉了",1
"推出",3
"推銷",1
"推薦",1
"條件",1
"現金",2
"現金回饋",1
"略有不同",1
"票證",2
"符合",1
"累積",6
"終生",2
"組織",2
"脫離",1
"設計",2
"許多",2
"透過",2
"這張",9
"這麼一來",1
"這點",1
"雀躍",1
"喜歡",1
"單位",1
"單筆",1
"提供",2
"提到",1
"提醒",1
"換領",1
"普遍",1
"晶",4
"最早",1
"最近",1
"最高",1
"湊滿",2
"無",4
"無印",3
"無印卡",1
"無印良品",18
"無須",1
"琳瑯滿目",1
"登錄",1
"發卡",3
"發行",2
"發放",3
"發表",1
"等同於",2
"等級",1
"結帳",2
"註",1
"買",1
"買個",1
"貼心",2
"超過",1
"越",1
"越多",2
"越買",1
"週間",3
"集好",1
"集滿",1
"項目",1
"須",1
"想不起",1
"意思",1
"意識",1
"愛好者",2
"搭",2
"搭配",2
"業務",2
"當月",1
"當年",1
"當你",1
"當你買",1
"經驗",1
"腦粉",1
"詢問",1
"詳細",1
"資格",1
"過去",2
"零頭",1
"電子",4
"預設",2
"像是",1
"壽星",1
"實用",1
"實際",1
"實體",3
"滿百",1
"滿額",1
"盡量",1
"認列",1
"銀行",2
"需",1
"領取",1
"寫篇",1
"緻",6
"請",1
"賣點",1
"適合",1
"學生",1
"擁有",2
"機票",2
"機會",1
"獨享",2
"獨家",1
"興趣",1
"辦",1
"辦卡",2
"錢包",1
"隨時",1
"餐飲",2
"優惠",16
"優點",1
"獲得",1
"聯名卡",5
"舉例",1
"購物",1
"購買",1
"還能",1
"點",3
"點數",6
"禮",1
"舊",1
"豐富",1
"額外",1
"額度",1
"難以",1
"囉",1
