"x","freq"
"0.5",6
"0.50",2
"0.7",1
"0.9",1
"1.",5
"1.2",2
"1.20",1
"1.22",2
"1.3",1
"1.30",1
"1.5",7
"1.50",1
"1.8",1
"1.80",1
"100",10
"10000",1
"104",5
"12",11
"1200",1
"15",5
"15.00",1
"160",2
"2.",5
"2.2",3
"2.22",2
"2.80",1
"200",1
"2000",3
"20000",1
"2019",10
"201912",1
"2400",2
"250",1
"29",1
"3.",2
"3.5",5
"3.50",1
"30",4
"300",3
"3000",1
"31",9
"4.",1
"40",1
"5.68",1
"500",4
"6.75",2
"6.88",2
"83",1
"85",1
"888",1
"89",1
"APP",2
"Apple",1
"citibank",2
"com",2
"cp",1
"e",1
"FLYGO",1
"Gogo",1
"GoGo",2
"NT",5
"Pay",1
"PLUS",1
"Richard",1
"Richart",2
"tw",2
"www",2
"x3",2
"一年",2
"一些",1
"一兩",1
"一定",2
"一客",1
"一般來說",1
"一張",2
"一筆",2
"一項",1
"一種",1
"一點",2
"人",5
"人工",2
"人員",1
"人辦",1
"入手",1
"三大",1
"三個",2
"上限",16
"下",3
"下半年",1
"也當",1
"千元",1
"大多數",2
"大筆",1
"小資",2
"已",2
"不小",1
"不多",1
"不足",2
"不定期",2
"不等",1
"不錯",2
"中",1
"之後",1
"元",27
"元大",1
"元且",1
"內要",1
"公升",2
"分別",1
"天內",1
"手續費",8
"支付",1
"文件",3
"方向",1
"方式",1
"方法",1
"方便",2
"日",5
"月",10
"月底",1
"月薪",1
"比方說",1
"比較",14
"牛排",1
"王品",4
"王道",6
"主打",2
"主要",2
"代表",1
"代買",1
"代購",1
"以上",2
"以下",3
"以外",3
"以前",2
"出國",3
"功能",2
"加",1
"加油",9
"加值",2
"加碼",15
"包含",1
"半年",1
"卡",44
"卡片",21
"卡加",1
"卡年費",3
"卡要",1
"卡弱",1
"卡高",1
"只",3
"可享",1
"台",2
"台亞",1
"台新",3
"台幣",2
"外幣",1
"市場",4
"平日",5
"平均",1
"平常",1
"本文",1
"正卡續",3
"生日",1
"生活",2
"用途",1
"申請",2
"申辦",11
"目前",3
"交通工具",1
"交通費",1
"件事",1
"休閒",1
"兆豐銀",1
"先",2
"先生",4
"全國",1
"全部",1
"划算",1
"吃",1
"吃喝",1
"各有不同",1
"各家",1
"各期",2
"各項",2
"合作",1
"合計",2
"合適",1
"吋",1
"名列前茅",1
"回",1
"回饋",16
"在職",1
"地方",1
"多省",2
"好",3
"好用",1
"好好",1
"存款",2
"存摺",1
"年",11
"年收",1
"年初",1
"年度",1
"年費",11
"年輕人",1
"扣款",1
"扣繳憑單",3
"收入",1
"有沒有",2
"有效",1
"有給",1
"有錢",1
"次",4
"次下",1
"百分率",2
"而定",3
"自助",2
"自動",2
"至上",1
"至少",1
"行",2
"行李箱",1
"行動",1
"低",4
"兌換",1
"免",1
"免年費",7
"判斷",1
"利用",1
"利息",1
"利率",15
"即可",1
"即免",1
"含",1
"完",1
"完全",1
"快速",1
"我會",1
"投",1
"折",6
"折扣",1
"折抵",1
"折起",1
"每月",10
"每年",3
"每個",1
"每張",1
"每筆",1
"沖",1
"車",1
"里程",2
"並不",1
"並開啟",1
"事",1
"享",2
"使用",8
"兩張",1
"其他費用",3
"具",1
"到期",1
"刷",4
"刷卡",4
"取得",1
"周一",2
"固定",2
"固定收入",1
"官網",1
"定存",3
"店",2
"性質",1
"放上",1
"朋友",2
"泛用性",1
"注意",5
"的人",1
"的強",1
"知道",2
"花",4
"花掉",1
"花費",4
"花旗",11
"花錢",1
"近期",7
"金",2
"金卡",1
"金融",2
"金額",7
"門檻",8
"附加",1
"附帶",1
"非",1
"便宜",1
"信用",5
"信用卡",27
"信託",2
"則是",1
"前",4
"前辦",1
"威秀",2
"封面",1
"建議",2
"很紅",1
"很強",1
"很優",1
"後",3
"查詢",3
"活動",6
"流出",1
"為主",1
"皆",1
"相比",1
"相當於",2
"相較",1
"相對",1
"相關",2
"省",2
"省下",1
"省錢",3
"秒",1
"突然",1
"約",1
"美刷",1
"美金",1
"若有",1
"要求",1
"要辦",1
"計算",2
"重要",1
"降",4
"限",1
"限制",10
"限定",2
"限時",1
"飛行",1
"飛機",1
"首年",5
"首筆",1
"乘以",2
"值",1
"值高",1
"剛剛",1
"原",1
"哩程",1
"哪張",1
"娛樂",1
"家庭主婦",3
"容易",1
"差",2
"差別",2
"旅遊",5
"旅館",1
"時",2
"時要",1
"時間",1
"核卡",1
"海外",9
"消費",19
"特",2
"特色",3
"特定",4
"特高",1
"留意",2
"租車",1
"站",2
"能用",1
"能免",1
"能否",1
"航空",1
"記帳",1
"記得",1
"財力",2
"送",2
"針對",3
"高",5
"高出",1
"高達",1
"高鐵",2
"假日",3
"停車",1
"動用",1
"商店",2
"商家",1
"商務",1
"商務人士",1
"問我",1
"問題",1
"啟用",1
"國",1
"國內",13
"國外",8
"國家",4
"執行",1
"基金",2
"基準日",5
"基礎",1
"寄回",1
"密封式",1
"專用",1
"專門",2
"專屬",1
"帳戶",4
"帳單",3
"康是",1
"張",1
"張卡",1
"得到",1
"御璽",2
"悠遊",5
"情報",1
"捷運",2
"排在",1
"接近",1
"推出",4
"推薦",8
"族",5
"族群",3
"條件",1
"現在",2
"現折",1
"現金",20
"現金回饋",36
"理財",2
"符合",1
"符合條件",1
"累積",3
"終身",1
"習慣",1
"規則",6
"設計",1
"許多",2
"透過",1
"這張",17
"這類",1
"通常",1
"通勤",1
"通路",3
"造成",1
"連結",2
"陸續",4
"喜歡",1
"單筆",1
"富邦",1
"幾千元",1
"幾名",1
"幾百元",1
"幾張",1
"幾場",1
"幾種",1
"循環",10
"提領",1
"提醒",1
"換算",2
"揭露",2
"最",1
"最大",2
"最多",1
"最初",1
"最近",1
"最高",6
"最強",1
"最新",5
"期限",2
"款",1
"減免",1
"無",15
"無法",1
"無條件",1
"無需",2
"畫面",1
"登錄",2
"發卡",1
"發生",1
"等於",1
"給出",1
"給我",1
"菜籃",1
"評等",2
"買",2
"買一送一",3
"買票",1
"買菜",6
"貸款",2
"費用",2
"費費",1
"超過",1
"週五",2
"進入",1
"鈦",1
"開戶",2
"開卡",1
"開卡次",1
"開車",2
"開啟",1
"集團",2
"集點",1
"順便",1
"須有",1
"飯店",1
"匯豐",3
"填",1
"填寫",1
"想",2
"愛",1
"搭",5
"新",2
"新戶",4
"新戶禮",1
"新卡首",1
"新臺幣",2
"新增",3
"會少",1
"會以",1
"會有",1
"會差",1
"當月",1
"當成",1
"綁定",3
"經驗",1
"萬",8
"萬元",3
"萬用",2
"裡面",1
"詳情",7
"資金",1
"資金額",1
"資料",6
"跨國",1
"較優",1
"過去",1
"隔",1
"電子",1
"電腦",2
"電話",1
"電影",4
"電影票",2
"預借",12
"頓飯",1
"實體",2
"對象",3
"算是",2
"網友會",1
"網站",3
"網路",1
"網購",14
"說明",1
"銀行",13
"銀行帳戶",1
"需",1
"需求",1
"需要",7
"審核",1
"廣告",2
"影城",2
"數",1
"數位",2
"數高",1
"樂",1
"標準",1
"歐洲",2
"歐洲地區",1
"線",3
"線上",6
"請",2
"請洽",1
"適用",2
"適合",11
"閱讀",1
"學生",3
"學生族",1
"學費",1
"整理",6
"機票",3
"輸入",1
"辦",3
"辦太多卡",1
"辦卡",12
"辦卡前",1
"辦新卡",1
"選",5
"選出",1
"選卡",1
"選擇",6
"錢",3
"錯過",1
"隨身",2
"頻繁",4
"餐廳",7
"優惠",27
"優惠活動",1
"幫",2
"幫人",1
"應",2
"瞬間",1
"總金額",2
"總費用",2
"聯繫",1
"薪資",2
"購物",1
"還要",1
"鍋",1
"點",3
"點我",6
"點數",2
"點選",1
"禮",1
"禮首",1
"禮遇",2
"簡單",1
"謹慎",1
"豐",3
"轉",1
"額外",1
"額度",2
"簽帳",2
"繳",1
"繳稅",1
"繳費",4
"證明",3
"覺得",1
"鐵",1
"饗",1
"饗樂",1
"饗樂卡",1
"囉",1
"歡迎",1
"讀者",2
"變",1
"變成",1
"驗證",2
"鑽金卡",1
