"x","freq"
"0.5",2
"001",1
"08",1
"09",1
"1.",1
"1.88",1
"12",1
"17",1
"190",1
"2.",1
"20",3
"200",3
"2018",3
"2019",6
"2019-08-22",1
"2019-10-26",1
"2020",2
"22",1
"29",1
"3.",1
"3.5",1
"30",1
"4.",1
"4.5",1
"5.5",1
"500",2
"55688",1
"60",1
"600",1
"7-11",2
"87",1
"888",1
"App",7
"Apple",1
"bear",1
"Bear",27
"COMBO",1
"cover",1
"creditcard",1
"Ctrl",1
"F",1
"Funnow",1
"GoGo",6
"Google",1
"Hami",1
"icash",1
"in89",1
"iTunes",1
"KKBOX",1
"KOKO",1
"LINE",1
"mastercard",1
"momo",1
"NT",1
"OK",1
"P",4
"Pay",2
"PayPal",1
"PChome",2
"Pi",8
"Play",1
"PTT",1
"Richart",1
"Spotify",1
"u",1
"U",27
"Uber",1
"Wallet",6
"Watch",1
"Yueh",1
"一份",1
"一年",1
"一次",1
"一個月",2
"一張",1
"一期",1
"乙次",1
"二來",1
"上限",6
"上面",1
"下",1
"下半年",2
"也就是說",1
"大戶",3
"大同小異",1
"大超商",1
"大戲院",1
"小七買",1
"已",2
"不用",1
"不同於",1
"不在",1
"今年",1
"介紹",3
"元",4
"元起",1
"內容",1
"公佈",1
"天內",1
"天天",1
"戶",1
"手機",2
"支",1
"支付",8
"方式",3
"方法",1
"方便",1
"方面",2
"月",1
"比較",1
"主打",2
"主要",1
"付",2
"付款",3
"付等",1
"以上",1
"以下",2
"功能",1
"加碼",2
"加辦",1
"包含",3
"卡",24
"卡並",1
"卡為",1
"卡面",1
"去年",2
"只",2
"可得",3
"台新",2
"四大",1
"平日",1
"打開",1
"正面",1
"永豐",3
"玉山",30
"申請",1
"申辦",8
"皮夾",1
"目前",1
"交易",1
"先前",1
"先辦",1
"光速",1
"全家",2
"划算",1
"列入",1
"列出",4
"列表",1
"回饋",23
"在於",1
"好",2
"好卡",1
"存在",1
"年",5
"年費",1
"扣掉",1
"收到",2
"早就",1
"早餐",1
"有時候",1
"行動",6
"佔據",1
"何其",1
"冷凍",1
"即可",1
"即時",1
"含",2
"吸引",1
"吸引力",1
"完",2
"完整",1
"我辦",1
"折",1
"折抵",4
"更上層樓",1
"更好",1
"更新",1
"每年",1
"每期",5
"沒收",1
"秀",2
"那句",1
"並不",1
"享",5
"享有",2
"使用",6
"來說",3
"兩種",1
"刷",1
"刷卡",4
"刷台",1
"刷滿",2
"咖啡",1
"官",1
"官網",2
"尚未",2
"屈臣氏",1
"店家",1
"所有",1
"所謂",1
"拍",3
"明確",1
"板上",1
"直接",7
"空間",1
"表列",1
"表單",1
"長達",1
"信用卡",15
"則請",1
"前",2
"品牌",1
"威",1
"客",1
"建議",1
"很久沒",1
"很常",1
"後",3
"指定",5
"活動",2
"皆",1
"相比",1
"相當",2
"美麗",1
"若達",2
"訂購",1
"計算",3
"重疊",1
"首刷禮",3
"首選",1
"個人消費",1
"值得",1
"哪家",1
"差別",1
"時代",1
"時常",1
"核卡",3
"泰",1
"海外",2
"消費",17
"真的",2
"神人",1
"神卡",2
"神卡們",1
"能免",1
"追求",1
"陣子",1
"高",2
"高鐵",1
"假日",1
"做",1
"參考",1
"售價",1
"唯一",2
"商",2
"商店",2
"商品",1
"國內",1
"國內外",2
"國賓",2
"夠用",1
"帳戶",1
"帳單",4
"常跑",1
"張",2
"強項",1
"得到",1
"悠遊",2
"情境",1
"掃碼",1
"採",1
"採當期",1
"接觸",1
"推",2
"推出",2
"推薦",4
"教學",1
"條件",1
"條碼",1
"淘寶",1
"清單",1
"現在",1
"現金回饋",12
"現場",3
"符合",2
"累計",2
"組織",1
"習慣",1
"許多",2
"透過",1
"這張",7
"通路",7
"部分",1
"麻煩",1
"善用",1
"喜",1
"喜樂",1
"單筆",1
"單價",1
"富及",1
"惠",1
"提供",2
"曾經",1
"最",1
"最低",1
"最後",1
"最高",1
"最常",1
"期間",2
"渣打",1
"無",1
"無異",1
"發卡",1
"發表",1
"等於",2
"結論",1
"華",1
"華威",1
"萊爾",1
"街口",5
"買超",1
"超",1
"超商",9
"黃",2
"黑",1
"黑卡則",1
"匯入",1
"想",1
"意義",1
"搜尋",1
"搭配",2
"新",1
"新戶",4
"新月",1
"新光",1
"新增",2
"概念",1
"當你",1
"當期",4
"綁定",8
"號稱",1
"過的",1
"電影",3
"電影院",6
"實用",1
"實體",2
"幣",5
"算是",1
"精選",1
"網上",1
"網路",3
"網購",6
"認列",1
"誘因",1
"說",1
"說明",1
"豪華",1
"遙想",1
"銀行",2
"需求",1
"厲害",1
"寫到",1
"層出不窮",1
"影城",11
"數位",2
"樂聲",1
"歐",1
"確定",1
"確認",1
"篇文章",1
"線上",3
"衝突",1
"適用",1
"擔心",1
"整理",2
"橘子",1
"辦",1
"辦不辦",1
"辦用",1
"辦法",1
"遲到",1
"選擇",1
"錢包",4
"優惠",12
"應該",1
"總金額",1
"總歸",1
"聯名卡",1
"舉例來說",1
"購入",1
"購物",1
"購物網",1
"購票",1
"點此",2
"簡訊",1
"簡單",1
"舊",1
"舊戶",1
"贈",2
"類別",2
"寶",1
"囉",2
"聽說",1
"讀者",1
"顯得",1
