"x","freq"
"0.3",3
"0.5",1
"0.6",1
"1.",1
"1.2",3
"1.234",1
"1.5",3
"10",8
"100",1
"12",1
"15",2
"2.",1
"2.1",1
"2.2",1
"2.234",1
"2.5",4
"2.8",2
"250",1
"3.",1
"3.5",1
"30",3
"4.",1
"4.5",1
"500",1
"6.5",1
"7-",1
"711",1
"APP",3
"Bankee",2
"BeDoo",1
"Bello",1
"ELEVEN",1
"FlyGo",1
"GoGo",1
"Hello",4
"i",1
"icash",1
"Kitty",4
"KKBOX",1
"Line",1
"LINE",6
"Mastercard",1
"NA",31
"NT",5
"NT99",1
"OMIYAGE",1
"OP",1
"OPENPOINT",9
"OPENPOINTS",1
"Pay",1
"Points",1
"POINTS",4
"Richart",1
"一卡通",4
"一張",1
"上限",11
"上海",1
"千元",1
"大眾",1
"小",1
"小小",1
"小金剛",2
"不含",2
"中國信託",1
"元",3
"元大",1
"元贈",2
"分享",2
"天天",1
"太",1
"少女",1
"手禮",1
"支付",4
"日",1
"日本",2
"月份",1
"比較",1
"代收",1
"以上",1
"功能",1
"加油",1
"加值",4
"加碼",3
"加贈",1
"包含",1
"卡",14
"卡友們",1
"卡片",11
"卡哇伊",1
"卡面",2
"卡通",2
"卡優",2
"可享",1
"可愛",1
"台北",1
"台新",1
"外",3
"平平",1
"生日",2
"生活",1
"申辦",7
"立即",7
"份",1
"企鵝",1
"兆豐銀",1
"全",1
"全台",1
"全球",2
"再",2
"再享",2
"合作金庫",1
"合併",1
"回饋",36
"地區",1
"扣款",3
"扣繳",1
"百貨",1
"考慮",1
"自由",1
"自動",4
"行",1
"行動",1
"伴",1
"兵卡",1
"利率",2
"含",1
"含原",2
"快速",1
"每月",1
"每年",1
"每次",1
"每期",2
"每筆",1
"每滿",1
"享",21
"享月費",1
"使用",1
"刷卡",3
"咖啡",2
"定期",1
"幸福",2
"的心",1
"返現",1
"金",3
"金卡",1
"金額",2
"門市",1
"俘虜",1
"信用卡",5
"品牌",2
"哆",3
"指定",7
"星巴克",1
"活儲",1
"紅利",3
"紅利點數",1
"面請",1
"首次",1
"倍",11
"原子",2
"娜",1
"家",1
"旅日",1
"海外",4
"消費",34
"真的",1
"粉",1
"送",2
"酒",1
"馬來",1
"動物",1
"商店",1
"國內",12
"國內外",1
"國外",7
"國家",1
"基金",1
"帳戶",2
"帳單",5
"御璽",1
"悠遊",2
"深受",1
"現金",1
"現金回饋",14
"累積",2
"統一",4
"設定",1
"這張",2
"這篇",1
"通路",6
"喜愛",1
"喜歡",1
"單筆",1
"富邦",1
"富超商",1
"曾經",1
"最高",12
"期",2
"款",1
"無",8
"筆",1
"華南",1
"萊爾",1
"萌",1
"街口",6
"超",1
"超級",1
"超商",2
"鈦",1
"開立",1
"集團",2
"集點",1
"黑啤",1
"惹",1
"新光",1
"新聞網",2
"新增",4
"煙",1
"當月",5
"當期",3
"綁定",4
"腳色",1
"運輸",1
"達",2
"零售",2
"圖",2
"圖案",2
"夢",2
"夢卡",1
"夢想",2
"幣",3
"漫遊",1
"網路",4
"網購",2
"赫拉",1
"遠東",1
"酷",1
"酷玩卡",2
"銀行",9
"影城",1
"數位",2
"歐付",3
"線上",7
"機票",1
"獨創",1
"賴點",1
"辦",2
"選",1
"隨機",1
"優惠",13
"優惠價",1
"儲值",1
"環球",1
"聯名卡",7
"聯邦",1
"購物",2
"點",6
"點卡",1
"點數",9
"點數卡",1
"藍",1
"藍瓶",1
"貘",1
"雙倍",1
"額外",1
"爆品",1
"贈",1
"寶",3
"鐵",1
"魔法",1
"讚",1
"鑽",1
"鑽金",1
"鑽金卡",1
"鑽現",1
