"x","freq"
"0.5",2
"1.",1
"1.2",1
"1.22",1
"1.5",1
"1.88",1
"10",2
"100",1
"12",4
"15",2
"2.",1
"2.22",1
"2.5",1
"2000",2
"2019",2
"2019-",1
"2019-12-31",1
"24",2
"3.",1
"300",1
"3000",1
"31",2
"588",3
"75",1
"8.88",1
"85",1
"EZ",1
"mini",1
"NT",1
"OK",1
"PLUS",1
"一下",1
"一年",2
"上限",1
"上海",1
"大學",1
"小小",1
"小白",1
"小時",1
"小編",2
"之下",1
"之後",1
"元",2
"分享",1
"天",1
"少",1
"心想",1
"主打",1
"以上",1
"以下",1
"加值",1
"加碼",1
"卡",6
"卡片",4
"卡有",1
"卡免",1
"卡優",2
"台灣",1
"外商",1
"市區",1
"市場",1
"平日",1
"平安險",3
"正卡",1
"正卡刷",1
"用是",1
"申辦",5
"立即",3
"再",1
"同學",1
"回饋",6
"好",4
"年",2
"年費",1
"次",2
"次不限",1
"次年",3
"自動",1
"行列",1
"免",1
"免年費",6
"免費",2
"兵",1
"即日起",1
"含",1
"折",3
"折扣",1
"每日",1
"些",1
"享",7
"享好",1
"享續",1
"使用",1
"依稀記得",1
"刷卡",3
"花旗",5
"金",1
"金額",2
"非",1
"信用",1
"信用卡",2
"前",1
"威秀",1
"指定",2
"星展",3
"活動",1
"炫晶",1
"相較",1
"紀錄",1
"約",1
"訂",1
"首年",4
"首刷禮",1
"旅遊",3
"時",1
"時間",1
"海外",1
"消費",8
"討論",1
"起前",1
"送",3
"假日",1
"停車",2
"國內",2
"國內外",1
"國外",1
"國際機場",3
"帳單",1
"張",1
"御璽",3
"悠游",1
"接",2
"接送",1
"條件",1
"深入研究",1
"現金回饋",8
"畢業",1
"票價",1
"累計",1
"累積",2
"脫離",1
"通路",1
"單程",2
"最高",2
"最優",1
"渣打",3
"無",2
"發展",1
"發現",1
"筆",1
"間",1
"項",1
"項享",1
"匯豐",2
"匯豐銀行",1
"新戶",1
"新戶享",2
"新戶線",1
"新聞網",2
"萬",4
"萬元",2
"達",1
"達成",1
"電子",1
"電影",1
"圖",2
"銀行",4
"線上",3
"機場",1
"積極",1
"優惠",4
"優惠活動",1
"優惠價",2
"購票",1
"禮四選",1
"簽名",1
"權益",2
