"x","freq"
"10",1
"10-12",1
"12",2
"15",1
"2019",2
"2020",5
"31",2
"888",2
"CPM",1
"Visa",6
"VISA",2
"入手",2
"小編",1
"中獎",1
"元",2
"分行",1
"尤其",1
"方便",1
"主",2
"主題",5
"主題卡",2
"卡",7
"卡片",5
"卡後要",1
"卡面",1
"只",1
"台北",10
"正式",1
"申請",1
"吉祥物",2
"回饋",1
"好",1
"如手",1
"存款",1
"年",5
"年滿",1
"收藏",1
"次",1
"即贈",1
"把握",1
"每筆",1
"身分證",1
"來說",1
"依然",1
"刷卡",5
"抽獎",2
"東京",12
"東奧",1
"版面設計",1
"花旗",1
"金融",7
"金額",2
"門檻",1
"非",1
"非常低",1
"信用卡",1
"前",2
"後",1
"持",2
"持有",1
"是不是",1
"活潑大方",1
"為主",1
"為底",1
"紀念",1
"背包",1
"限量",3
"面",1
"原",1
"拿到",1
"消費",4
"帳",2
"帳戶",1
"推出",2
"族群",1
"第二張",1
"累積",1
"組",1
"設計",1
"這張",5
"喔",1
"喜歡",1
"富邦",10
"換",1
"發成",1
"發行",1
"筆且",1
"等級",1
"超有",1
"越大",1
"越多",1
"開立",1
"開刷",1
"須要",1
"奧運",12
"想要",1
"搭上",1
"新卡",2
"歲且",1
"遊",3
"運動",1
"達",1
"圖",2
"輕鬆",1
"銀行",3
"價值",1
"學生",1
"機會",2
"辦理",1
"選擇",1
"錯過",1
"優惠",2
"獲",1
"櫃台",1
"禮",1
"禮與",1
"藍紫色",1
"雙人",3
"題簽",2
"簽帳",4
"關係",1
"攜帶",1
"權益",1
