"x","freq"
"0.5",1
"0.8",1
"1.",3
"1.20",3
"1.22",1
"1.3",6
"1.5",3
"1.8",3
"1.80",1
"10",1
"100",9
"1000",1
"104",2
"106",1
"107",2
"12",10
"12000",1
"135",1
"14.99",1
"15",6
"15.00",2
"150",1
"2.",3
"2.2",1
"2.20",2
"2.22",2
"2.31",1
"2.5",2
"2.50",3
"2.74",1
"2.8",1
"2.80",1
"2.92",1
"200",2
"2000",1
"2015",2
"2018",2
"2019",17
"24",1
"3.",2
"3.00",2
"3.2",1
"3.5",8
"3.50",1
"30",4
"30000",1
"31",7
"4.",1
"40",1
"400",1
"45",1
"5.36",1
"5.46",1
"5.68",1
"5.99",1
"50",1
"500",3
"5000",2
"588",2
"599",1
"6.75",1
"60",1
"600",2
"6250",1
"69",1
"8.88",1
"9.31",1
"agoda",1
"APP",1
"booking",1
"com",1
"Combo",3
"DAWHO",4
"Eats",1
"Flygo",4
"foodpanda",1
"JCB",1
"LOGNY",1
"Market",4
"Master",2
"Mr",4
"NT",10
"PPT",1
"PTT",1
"Q1",1
"Richard",1
"Richart",1
"Uber",1
"Visa",2
"x3",3
"X3",4
"一卡通",5
"一句",4
"一年",1
"一些",1
"一季",1
"一個月",1
"一張",4
"一筆",3
"一銀",2
"一篇",1
"一點",5
"了解",6
"二來",2
"人",5
"三大",1
"上半年",1
"上限",15
"上海",11
"上難",1
"下半年",3
"下面",2
"久",1
"大戶",3
"大多數",1
"小字",1
"已",1
"不用",1
"不足",1
"不錯",4
"中",3
"中日韓",2
"中國",1
"之後",1
"元",18
"元大",5
"內在",1
"內刷",1
"公司",2
"公告",1
"公定價",1
"分別",1
"分享",2
"勾選",1
"升級",1
"天內",3
"天任",1
"太",1
"太大",1
"太少",1
"太多要",1
"少",1
"巴西",1
"心得",9
"手",1
"手續費",11
"日",7
"日本",4
"日圓",1
"日韓",7
"月",17
"月底",1
"比較",13
"王道",7
"主打",3
"主機",1
"代購",1
"以上",6
"以下",4
"以外",1
"以前",4
"出國",1
"出國前",1
"功能",1
"加",1
"加值",1
"加碼",25
"包",1
"包含",2
"半年",2
"卡",48
"卡比",3
"卡片",16
"卡免",1
"卡是",1
"卡要",1
"卡弱",1
"只到",1
"只能",2
"只會",1
"叫外賣",1
"可兌換",1
"可免",3
"台新",5
"台幣",2
"外幣",1
"市場",14
"平均",3
"未",2
"正卡",2
"民國",1
"永豐",10
"生活",1
"用戶",1
"用途",2
"申請",11
"申辦",13
"目前",7
"交易",4
"任刷",1
"先",2
"先生",14
"全",1
"全部",1
"共用",1
"再用",1
"列入",2
"各人",1
"各大",4
"各家",3
"各張",1
"各期",1
"各項",1
"同期",1
"同樣",2
"名列前茅",1
"名稱",4
"名額",1
"回饋",59
"在於",1
"地點",3
"好",1
"好友",1
"存款",1
"年",14
"年收",1
"年利率",4
"年初",1
"年底",1
"年度",3
"年息",2
"年費",8
"成",1
"扣掉",2
"扣款",3
"扣繳",2
"扣繳憑單",1
"收",1
"收入",3
"收費",1
"有免",1
"有限",3
"有效",4
"有效期限",1
"有趣",1
"次",3
"次年",4
"次數",1
"灰色",1
"百分率",1
"老牌",2
"考慮",3
"而定",1
"自動",7
"至少",1
"行動",1
"低",1
"低於",1
"住宿",1
"兌換",2
"免年費",15
"免稅店",1
"利率",12
"即免",2
"完",2
"完全",1
"快速",1
"我會",1
"投資",1
"折抵",3
"改成",1
"更新",1
"每月",4
"每年",2
"每季",2
"每筆",5
"決定",1
"沒什麼",1
"沒辦",1
"身邊",1
"那張",1
"里程",3
"亞洲",1
"享",2
"享利樂活",3
"享續",1
"使用",6
"來說",1
"依然",1
"兩張",1
"其他費用",4
"到期",2
"刷",3
"刷卡",13
"刷到",1
"取得",1
"固定收入",1
"定存",1
"定期",1
"定義",1
"延續",1
"忽略",1
"性質",1
"房",1
"所有",1
"放款",1
"朋友",1
"東西",1
"注意",2
"的強",1
"直接",1
"知道",1
"花",1
"近期",1
"金",6
"金卡",4
"金融",5
"金額",16
"金額滿",1
"金鑽",1
"長久",2
"長期",1
"門檻",10
"非常適合",1
"非新卡",1
"信用",11
"信用卡",31
"冒用",1
"則是",1
"前",4
"前半年",2
"型",1
"度",2
"建議",1
"很高",1
"很優",1
"後",8
"後面",1
"後續",1
"持有",1
"指定",3
"星展",6
"查詢",4
"活動",3
"炫晶",4
"為止",1
"相當",1
"相對",4
"相關",3
"紅利",1
"美元",1
"訂",1
"訂房網",1
"計",1
"計算",3
"負擔",1
"降到",1
"限",5
"限制",14
"限新卡",1
"風險",1
"飛行",1
"飛機",1
"首年",8
"首筆",1
"乘以",1
"值",1
"兼顧",1
"剛剛",1
"原",1
"哩程",3
"家庭主婦",5
"容易",1
"差別",3
"差異",1
"座艙",1
"弱",1
"恩",1
"拿到",4
"旅行",1
"旅行社",1
"旅遊",12
"時",1
"時起",1
"時間",3
"書中",1
"核卡",3
"海外",27
"消費",37
"特色",15
"特別",1
"特定條件",1
"特店",1
"特性",1
"留意",1
"真正",1
"真的",1
"祕魯",1
"紐西蘭",1
"能力",1
"航空",3
"航空公司",2
"討論",2
"記得",1
"財力",1
