"x","freq"
"0.4",1
"0.45",1
"00",1
"1.",1
"1.2",2
"1.5",2
"1.6",2
"1.8",1
"10",3
"10.65",1
"100",2
"104",3
"110",1
"12",7
"120",1
"13.47",1
"15",5
"15.00",1
"150",1
"16000",1
"1688",1
"17",1
"17.75",1
"2.",1
"2.2",1
"2.5",1
"2.67",2
"20",10
"2000",5
"20000",3
"2019",7
"2019.9.30",1
"2020.6.30",1
"24",1
"2400",1
"25",8
"2500",1
"25000",2
"2688",1
"3.5",2
"30",7
"31",6
"35",2
"35000",2
"36",1
"40",1
"43",1
"45",1
"5.68",1
"5.97",1
"50",2
"5000",2
"5999",1
"6.88",1
"60",2
"600",1
"6600",1
"7000",1
"71",2
"7500",2
"77",1
"88",1
"95",1
"Agoda",1
"ANA",9
"ARMs",1
"bonus",1
"citibank",1
"com",1
"CP",1
"OK",2
"tw",1
"TWD",5
"www",1
"x3",1
"Y",1
"一年",7
"一次",1
"一位",1
"一些",2
"一定",1
"一段",1
"一哩",3
"一張",4
"一種",1
"一點",1
"人",2
"十分",1
"十字",1
"上限",1
"下",1
"大中華",1
"大洋洲",1
"大陸",1
"大額",2
"小",1
"小資",1
"不大一樣",1
"不含",1
"不便",1
"不高",1
"不無小補",1
"不錯",1
"中國",1
"中國信託",3
"中華",6
"中階卡",1
"之前",1
"元",31
"公司",3
"分享",2
"升",3
"天",3
"天內",4
"天藍",1
"手上",1
"手續費",3
"方式",3
"日",3
"日本",4
"月",4
"比率",2
"比較",6
"世界",4
"主打",1
"主要",3
"代購",1
"以上",6
"以下",3
"以外",1
"出國",4
"功能",1
"加碼",3
"包含",1
"卡",21
"卡片",9
"卡加",1
"卡能",1
"可惜",1
"台北",2
"台幣",1
"台灣",1
"四五趟",1
"市價",1
"平安險",1
"未來",1
"生活",1
"用不上",2
"用哩程",1
"申請",1
"申辦",2
"白金卡",2
"目前",7
"目標",1
"交易",5
"件事",1
"先",2
"先看",1
"全日空",1
"全球",1
"再",2
"划算",1
"印度",2
"各地",1
"各省",1
"各家",1
"合作",1
"吉隆坡",1
"吋",2
"回收",1
"回饋",5
"多家",3
"好",1
"年",7
"年收入",1
"年利率",1
"年費",13
"年薪",1
"成",1
"收需",1
"有免",1
"有效",3
"有效率",1
"次",4
"考量",1
"考慮",2
"至上",2
"至少",1
"行李箱",2
"行情",3
"低",1
"兌換",14
"免稅品",2
"免費",6
"利率",6
"吸引",1
"折",4
"折起",4
"更高",1
"更新",1
"每年",3
"每次",1
"每筆",2
"沖繩",1
"里程",23
"事半功倍",1
