"x","freq"
"1.",3
"1.5",1
"10",1
"10-12",1
"100",4
"101",1
"11",2
"12",2
"15",2
"2.",3
"2019",4
"2020",2
"29",1
"3.",1
"4.",1
"4.5",1
"666",1
"7-",1
"APP",3
"CITYLINK",1
"CoCo",1
"ELEVEN",1
"GoGo",1
"JASONS",1
"JCB",1
"Mastercard",1
"Model",1
"一次",1
"一直",1
"十分",1
"上市",1
"上限",3
"大都會",1
"小編",1
"已久",1
"仁",1
"元",1
"公告",1
"及台",1
"友",1
"天",1
"太陽",1
"支付",6
"日",2
"日期",1
"日線",1
"月份",3
"令人",1
"以台",1
"加碼",2
"加辦唷",1
"卡",4
"卡片",2
"卡面",2
"卡拿首",1
"卡種則",1
"只聞",1
"台",3
"台北",1
"台新",2
"外",1
"未來",1
"生活",1
"申請",1
"申辦",2
"企業",1
"先",1
"全",1
"再",1
"再來",1
"吉祥物",2
"回饋",4
"好",1
"色",1
"免費",1
"每月",1
"車",1
"車隊",1
"並以",1
"享",5
"兩隻",1
"兩種",1
"刷禮",1
"咖",2
"底色",1
"注意事項",1
"玫瑰",1
"直接",1
"知道",1
"花旗",1
"返現",2
"金卡",1
"亮相",1
"品",1
"品牌",1
"建議",1
"指定",5
"活動",1
"為主",1
"紅色",1
"限",2
"限定",1
"拿到",1
"捐款",1
"消費",8
"茗茶",1
"茶飲",1
"託付",1
"送",1
"偷偷",1
"商品",1
"商圈",1
"帶回家",1
"帶來",1
"張",1
"惟線",1
"推出",1
"清心",1
"現金回饋",3
"終於",1
"通路",3
"速辦",1
"頂",1
"頂好",2
"頂呱呱",1
"創",1
"喔",2
"報",1
"晶",1
"最高",5
"期盼",1
"無",2
"筆筆",2
"街口",13
"超市",3
"鈦",1
"開辦",1
"項目",1
"微風",1
"新",3
"新戶",1
"新戶禮",1
"新卡",1
"新街口",1
"綁定",3
"誠",1
"圖",2
"實際",1
"對味",1
"幣",5
"福全",1
"綠綠",1
"銀行",5
"樓梯",1
"線上",1
"緻",1
"衛星",1
"請來",1
"豬",1
"適用",2
"擔任",1
"機會",2
"辦卡",1
"隨機",3
"餐",1
"優惠",3
"環球",1
"聯名卡",4
"購物中心",1
"點",1
"舊卡",1
"繳費",1
"露面",1
"響",1
"權益",1
"灣",1
