,bank,card,act
378,"{'中信': 1, '兆豐': 2, '永豐': 1}",{},{'國外': 2}
379,{},{},{}
380,{},{},{}
381,{},{},{}
382,{},{},{}
383,"{'永豐': 5, '中信': 2, '台新': 3, '國泰世華': 3, '玉山': 2}",{},{}
384,"{'永豐': 3, '玉山': 3, '台新': 3}",{},"{'旅遊': 1, '飯店': 1}"
385,{},{},{'保費': 1}
386,{},{},{}
387,{'台新': 2},{},"{'保費': 1, '出國': 1, '旅遊': 1}"
388,{},{},{}
389,{},{},{}
390,{},{},{}
391,{},{},"{'旅遊': 2, '海外': 2}"
392,{},{},{'機場': 1}
393,{},{},{}
394,"{'永豐': 1, '兆豐': 1}",{},{'國外': 2}
395,{},{},{'飯店': 2}
396,{},{},{}
397,{},{},{}
398,{},{},{}
399,{},{},{}
400,{},{},{}
401,{},{},{'電影': 4}
402,"{'台新': 4, '中國信託': 1}",{},{}
403,"{'國泰世華': 5, '國泰': 1, '中國信託': 4, '玉山': 2, '台新': 1}",{},{}
404,{},{},{}
405,{},{},{'旅行': 1}
406,{'國泰': 1},{},"{'保費': 6, '機場': 1}"
407,"{'國泰世華': 10, '中信': 2, '中國信託': 1, '國泰': 2}",{},{'保險': 1}
408,{'國泰世華': 9},{},"{'加油': 11, '出國': 1, '旅行': 1, '機票': 1}"
409,"{'中信': 2, '國泰世華': 1, '玉山': 1, '台新': 1, '中國信託': 1}",{},{}
410,{},{},{}
411,{},{},{}
412,{},{},{}
413,"{'國泰': 3, '玉山': 3, '永豐': 2, '中信': 2, '台新': 2}",{},"{'加油': 1, '電影': 1}"
414,"{'中信': 3, '國泰': 2, '台新': 2, '永豐': 2, '玉山': 3, '國泰世華': 1, '兆豐': 1}",{},{'機票': 2}
415,{},{},{}
416,{},{},{}
417,"{'國泰世華': 3, '中信': 2, '玉山': 2}",{},{}
418,{},{},{}
419,{},{},{}
420,{},{},{}
421,"{'中信': 1, '國泰世華': 1, '玉山': 1, '台新': 1}",{},{}
422,"{'台新': 1, '國泰世華': 1, '中國信託': 1, '玉山': 1}",{},{}
423,"{'玉山': 1, '國泰世華': 1, '中國信託': 1}",{},"{'加油': 21, '中油': 4}"
424,{'中信': 2},{},{}
425,{},{},{'加油': 2}
426,{},{},{}
427,"{'永豐': 2, '台新': 1, 'Richart': 1, '玉山': 1}",{'GOGO': 1},"{'海外': 4, '國外': 3}"
428,{},{},{'飯店': 7}
429,"{'國泰': 1, '中信': 1, '玉山': 1, '永豐': 1, '台新': 1}",{},"{'出國': 2, '旅遊': 8, '機票': 2, '旅平險': 8, '海外': 9, '國外': 1}"
430,{},{},{}
431,{},{},{}
432,"{'中國信託': 1, '國泰': 1, '玉山': 1, '台新': 1}",{},{}
433,"{'國泰': 1, '玉山': 1}",{},{}
434,{},{},{}
435,{},{},{}
436,{},{},{}
437,"{'台新': 1, '玉山': 2, '國泰': 4, '中信': 1}",{},"{'電影': 2, '加油': 10, '國外': 2, '威秀': 1, '國賓': 2, '機票': 1, '中油': 1}"
438,{},{},{}
439,{},{},"{'機票': 4, '旅遊': 3}"
440,{'中國信託': 4},{},{'海外': 1}
441,{},{},"{'出國': 2, '旅遊': 1, '電影': 3, '機票': 2, '機場': 2, '旅平險': 1, '加油': 5}"
442,{},{},{'健身房': 2}
443,{},{},{'保費': 1}
444,{},{},"{'旅遊': 2, '保險': 1, '旅平險': 4}"
445,{},{},{}
446,{},{},{}
447,{},{},{}
448,{},{},{'出國': 1}
449,{},{},"{'加油': 2, '旅遊': 1}"
450,{},{},{'保費': 2}
451,{},{},{}
452,{},{},{}
453,{},{},"{'保險': 1, '保費': 1}"
454,{'中國信託': 6},{},{'旅遊': 2}
455,{},{},"{'運動': 2, '跑步': 1, '旅遊': 5, '機票': 3, '機場': 1}"
456,"{'國泰世華': 1, '台新': 1, '中國信託': 1}",{},{'旅遊': 1}
457,{},{},{}
458,{},{},{'電影': 1}
459,{},{},"{'運動': 2, '跑步': 1, '旅遊': 5, '機票': 3, '機場': 1}"
460,{'國泰世華': 1},{},{}
461,{},{},{}
462,{},{},{}
463,{'永豐': 1},{},{}
464,{},{},{}
465,{},{},"{'國外': 2, '加油': 1}"
466,{},{},{}
467,{},{},{}
468,"{'中信': 1, '玉山': 1}",{},{}
469,{},{},{}
470,{},{},{}
471,{},{},{}
472,{},{},"{'飯店': 1, '機場': 2}"
473,{},{},{}
474,{},{},{}
475,{},{},"{'旅行': 1, '出國': 1}"
476,{},{},{}
477,"{'國泰世華': 16, '國泰': 1}",{},{}
478,{},{},"{'旅遊': 2, '國外': 1}"
479,{},{},{}
480,"{'永豐': 3, '中信': 2, '台新': 2}",{},{'機票': 1}
481,{},{},{}
482,{},{},"{'保費': 2, '保險': 2}"
483,{},{},"{'出國': 2, '電影': 1, '機場': 1}"
484,{},{},"{'機場': 2, '飯店': 1}"
485,{},{},"{'旅行': 1, '機票': 4}"
486,{'中國信託': 3},{},"{'旅遊': 1, '機票': 1, '海外': 1, '飯店': 1, '旅行': 1}"
487,{},{},{'機票': 2}
488,{},{},{}
489,{},{},{'加油': 1}
490,"{'中信': 3, '中國信託': 1}",{},{'運動': 1}
491,"{'永豐': 2, '台新': 1, '玉山': 1}",{},{}
492,{},{},{}
493,{},{},{'國賓': 1}
494,{},{},{'電影': 1}
495,{},{},"{'旅遊': 3, '國外': 1, '機場': 1, '機票': 1}"
496,{},{},"{'旅遊': 1, '國外': 1}"
497,{},{},{}
498,{},{},{}
499,{},{},{}
500,{},{},{}
501,{},{},"{'旅遊': 9, '出國': 1, '國外': 1}"
502,{},{},{}
503,"{'台新': 1, '國泰世華': 1, '中國信託': 1}",{},{}
504,{'玉山': 9},{},{}
505,{},{},"{'旅遊': 2, '加油': 1, '電影': 1}"
506,{},{},{}
507,{},{},{}
508,"{'中國信託': 3, '玉山': 1, '台新': 1}",{},{}
509,{},{},{'旅遊': 8}
510,{},{},"{'出國': 1, '機票': 2, '旅遊': 1}"
511,"{'台新': 9, '中信': 1, '國泰世華': 1, '玉山': 1}",{},{}
512,"{'國泰': 1, '玉山': 3}",{},"{'旅遊': 2, '機票': 1}"
513,{},{},{}
514,"{'中國信託': 1, '國泰世華': 2}",{},{}
515,{},{},{}
516,{},{},{}
517,{'中信': 9},{},{}
518,{},{},{'海外': 1}
519,{},{},{}
520,"{'中國信託': 3, '中信': 4}",{},{'旅遊': 2}
521,{},{},"{'旅遊': 3, '國外': 4, '機票': 1}"
522,{},{},{}
523,"{'國泰世華': 2, '台新': 2, '中國信託': 2}",{},{}
524,{},{},{'旅遊': 1}
525,{},{},{}
526,{},{},"{'旅遊': 5, '機票': 1}"
527,{},{},{'出國': 1}
528,"{'中國信託': 7, '中信': 1}",{},"{'海外': 1, '國外': 1, '電影': 1}"
529,{},{},"{'旅行': 2, '旅遊': 5}"
530,{},{},{'國外': 1}
531,{},{},"{'旅遊': 6, '海外': 1}"
532,{},{},{'飯店': 3}
533,"{'中國信託': 3, '中信': 3}",{},"{'加油': 2, '旅遊': 1, '中油': 1, '機票': 1}"
534,{},{},{}
535,{},{},{}
536,{},{},"{'旅遊': 10, '飯店': 8}"
537,"{'國泰世華': 6, '中國信託': 1, '中信': 3}",{},{}
538,{},{},{'海外': 2}
539,{},{},{'旅遊': 2}
540,{},{},{}
541,{},{},{'國外': 1}
542,{},{},{}
543,"{'中信': 17, '國泰世華': 5, '台新': 1, '中國信託': 1}",{},{'國外': 2}
544,{},{},{'威秀': 4}
545,{'兆豐': 1},{},{}
546,{},{},"{'旅遊': 11, '國外': 1, '機票': 1, '旅平險': 8, '出國': 1, '保險': 4, '旅行': 1, '海外': 9, '保費': 1}"
547,{'永豐': 2},{},{'加油': 6}
548,{},{},{}
549,{},{},{}
550,{},{},"{'旅遊': 2, '海外': 2}"
551,{'永豐': 1},{},{'國外': 1}
552,{},{},{'旅遊': 1}
553,{},{},{}
554,"{'國泰世華': 6, '玉山': 2}",{},{}
555,{'台新': 6},{},{}
556,{},{},{}
557,"{'國泰世華': 1, '玉山': 1, '永豐': 1, '中國信託': 1, '兆豐': 1, '台新': 1}",{},{}
558,{},{},{}
559,{},{},"{'保險': 9, '旅遊': 3, '國外': 1, '保費': 1}"
560,"{'玉山': 1, '國泰世華': 1, '兆豐': 1}",{},{}
561,{},{},{'旅遊': 1}
562,{'永豐': 1},{},{}
563,"{'中信': 8, '中國信託': 3, '國泰世華': 1}",{},"{'國外': 3, '海外': 4, '旅遊': 1}"
564,{},{},{}
565,"{'中信': 2, '國泰世華': 2, '玉山': 1}",{},{}
566,{},{},{}
567,"{'中國信託': 4, '國泰世華': 4, '玉山': 4, '台新': 8}",{},{}
568,"{'玉山': 4, '永豐': 4}",{},{'加油': 10}
569,{},{},{}
570,{},{},{}
571,{},{},{}
572,{'中國信託': 2},{},"{'出國': 6, '旅遊': 7, '機票': 21, '旅行': 1, '飯店': 1}"
573,{},{},{'國外': 1}
574,{},{},{}
575,{},{},"{'旅遊': 4, '旅平險': 5, '保險': 10, '保費': 1}"
576,{},{},{}
577,{},{},"{'旅行': 6, '旅遊': 3}"
578,{},{},{}
579,{},{},{}
580,{},{},{}
581,{},{},{'出國': 1}
582,"{'台新': 9, '中國信託': 5, '中信': 2, '國泰': 1}",{},"{'海外': 6, '出國': 4, '旅遊': 8, '國外': 1, '機票': 4, '旅行': 1, '旅平險': 1}"
583,{},{},{}
584,{},{},{'旅遊': 1}
585,{},{},{'海外': 1}
586,"{'中國信託': 7, '國泰世華': 6, '國泰': 1}",{},{}
587,{},{},{}
588,{'國泰世華': 3},{},{}
589,{},{},{'海外': 1}
590,{},{},{}
591,{},{},{}
592,{'中信': 13},{},{'保險': 4}
593,"{'中國信託': 2, '中信': 1}",{},"{'運動': 1, '電影': 1}"
594,{},{},"{'旅遊': 1, '飯店': 1}"
595,"{'中國信託': 1, '國泰世華': 1, '玉山': 1, '台新': 1}",{},{}
596,{},{},{}
597,{},{},{}
598,"{'中信': 3, '國泰世華': 2, '玉山': 1, '台新': 1}",{},{}
599,{},{},{}
600,{},{},{}
601,{},{},{}
602,{},{},{}
603,{},{},{}
604,{'國泰世華': 1},{},{}
605,{},{},{}
606,"{'台新': 13, '國泰世華': 3, '中信': 2, '玉山': 1}",{},{}
607,{},{},{}
608,{},{},{}
609,{},{},{}
610,{},{},{}
611,{},{},{}
612,{},{},{'海外': 1}
613,{},{},"{'出國': 1, '機場': 2}"
614,"{'玉山': 1, '國泰世華': 2, '中國信託': 1, '台新': 1}",{},{'旅遊': 1}
615,"{'玉山': 1, '國泰世華': 1, '中國信託': 1, '台新': 1}",{},{}
616,"{'國泰世華': 2, '中信': 2, '玉山': 2, '台新': 1}",{},{}
617,{'玉山': 10},{},{'旅遊': 1}
618,{},{},{}
619,{},{},{}
620,{},{},{}
621,"{'中信': 1, '國泰世華': 1, '台新': 1}",{},"{'旅遊': 2, '機票': 2, '機場': 1, '國外': 1}"
622,{},{},{'電影': 1}
623,"{'永豐': 1, '玉山': 1}",{},{}
624,{},{},{'國外': 1}
625,{'永豐': 1},{},{'加油': 17}
626,{},{},{'海外': 2}
627,{},{},{}
628,"{'中國信託': 3, '中信': 16, '國泰': 2, '國泰世華': 1}",{},{}
629,{},{},{}
630,"{'國泰': 1, '國泰世華': 6}",{},{}
631,"{'國泰世華': 4, '中信': 1, '台新': 1, '玉山': 1}",{},{}
632,{},{},{}
633,{},{},{}
634,{},{},{}
635,{},{},"{'機票': 1, '旅遊': 1}"
636,{},{},{}
637,{},{},{}
638,{},{},{}
639,{},{},{}
640,"{'國泰世華': 1, '中國信託': 1, '台新': 1}",{},{}
641,{},{},{}
642,{},{},{}
643,"{'中國信託': 3, '兆豐': 3}",{},{}
644,{},{},{}
645,{'國泰世華': 2},{},{'飯店': 1}
646,{},{},{}
647,{},{},{}
648,{'台新': 2},{},"{'機票': 2, '電影': 1}"
649,{},{},"{'機場': 1, '飯店': 1}"
650,{},{},{}
651,{},{},{'保險': 7}
652,{'玉山': 5},{},"{'海外': 1, '保險': 1}"
653,"{'玉山': 1, '永豐': 1}",{},"{'中油': 1, '加油': 3}"
654,"{'玉山': 1, '國泰': 1, '兆豐': 1}",{},{'加油': 6}
655,"{'中信': 1, '永豐': 2, '中國信託': 1}",{},"{'中油': 2, '加油': 9}"
656,"{'中國信託': 4, '中信': 5}",{},{'旅遊': 1}
657,{},{},{}
658,"{'中信': 18, '中國信託': 12}",{},{'海外': 2}
659,{},{},{}
660,{},{},{}
661,{},{},{}
662,{},{},{}
663,"{'國泰世華': 2, '玉山': 2, '台新': 2}",{},{'旅遊': 1}
664,{},{},{}
665,{},{},{}
666,"{'中國信託': 1, '國泰世華': 7, '兆豐': 5, '玉山': 7, '永豐': 6, '台新': 6}",{},{'保險': 1}
667,{},{'Pi': 5},"{'國外': 2, '旅遊': 1}"
668,{},{},"{'加油': 1, '機場': 2, '機票': 2}"
669,"{'永豐': 8, '玉山': 1, '國泰世華': 1, '國泰': 1}",{},{'加油': 21}
670,{},{},"{'電影': 1, '加油': 1, '出國': 1}"
671,{'永豐': 37},{'大戶': 8},"{'國外': 1, '機場': 5}"
672,"{'中國信託': 1, '國泰世華': 2, '永豐': 1, '台新': 2}",{},"{'加油': 4, '電影': 4, '威秀': 1, '飯店': 1, '海外': 1, '機票': 1, '保險': 3, '國外': 2, '出國': 2, '旅遊': 1}"
673,{},{},{}
674,{},{},"{'旅遊': 2, '保險': 6}"
675,{},{},"{'國外': 1, '海外': 2, '機場': 2, '機票': 2}"
676,"{'永豐': 1, '中信': 1, '玉山': 1, '台新': 1, '國泰世華': 1}",{},{}
677,"{'國泰': 7, 'KOKO': 3, '國泰世華': 6, '台新': 6, '中國信託': 3, '永豐': 5, '玉山': 4, '中信': 2}",{},{}
678,{},{'Pi': 6},"{'國外': 2, '旅遊': 1}"
679,{},{},"{'旅遊': 2, '保費': 2}"
680,{},{'大戶': 1},{'國外': 1}
681,{},{},"{'電影': 2, '加油': 2}"
682,{},{},"{'旅遊': 2, '機場': 1}"
683,"{'中信': 1, '玉山': 7, '國泰': 6, 'KOKO': 5, '台新': 5, '兆豐': 4, '中國信託': 2, 'Richart': 1, '永豐': 1}","{'Pi': 5, '大戶': 1}","{'海外': 1, '電影': 1, '保費': 1}"
684,"{'台新': 3, '兆豐': 3, '永豐': 2, '中國信託': 2, '玉山': 2, '國泰世華': 1}",{},{}
685,{'中國信託': 1},{},{}
686,{},{},"{'國外': 2, '海外': 1}"
687,{},{},"{'旅遊': 2, '出國': 1}"
688,"{'中信': 2, '玉山': 6, '國泰': 5, 'koko': 4, '兆豐': 4, '台新': 5, '中國信託': 6, 'richart': 1}","{'gogo': 4, 'Pi': 5}","{'海外': 1, '電影': 1, '保費': 1}"
689,{},{},"{'電影': 1, '加油': 1, '國外': 2, '機票': 1}"
690,{},{},"{'加油': 3, '國外': 3, '機場': 1, '出國': 1}"
691,{},{},"{'加油': 1, '出國': 1}"
692,"{'國泰': 2, '台新': 3, '國泰世華': 2}",{},{'保險': 1}
693,{'永豐': 40},{'大戶': 13},"{'機場': 11, '國外': 2, '保費': 4}"
694,{'永豐': 1},{},{'國外': 1}
695,{},{},"{'旅遊': 2, '機場': 1}"
696,"{'玉山': 6, '永豐': 4, '中信': 3, '台新': 5, '國泰': 1}",{},{}
697,"{'中國信託': 9, '永豐': 1}",{},"{'加油': 1, '中油': 1}"
698,{},{'linepay': 3},"{'國外': 5, '海外': 1}"
699,{'玉山': 33},{'Pi': 34},"{'保費': 1, '加油': 1, '保險': 1}"
700,"{'玉山': 9, '永豐': 5, '國泰': 5, 'KOKO': 5, '台新': 5, '中信': 1}","{'大戶': 5, 'Pi': 2, 'Only': 1}","{'國外': 18, '加油': 2, '電影': 2, '旅行': 1, '機票': 1, '旅遊': 1}"
701,"{'永豐': 4, '國泰': 4, '台新': 4, '中信': 3, '玉山': 3, '中國信託': 1, '兆豐': 1, '國泰世華': 1}",{},{'保險': 3}
702,"{'玉山': 13, '台新': 6, '永豐': 1, '兆豐': 4}",{'Pi': 6},{}
703,{'台新': 1},{},"{'電影': 1, '加油': 1, '出國': 1}"
704,{},{},"{'加油': 2, '電影': 1, '機票': 2}"
705,"{'國泰': 3, '台新': 6, '玉山': 19, '永豐': 6, '國泰世華': 4, 'KOKO': 1}",{},"{'加油': 1, '電影': 1, '保險': 1}"
706,"{'中國信託': 15, '中信': 15, '台新': 1}",{},"{'海外': 9, '國外': 2}"
707,"{'永豐': 36, '國泰': 2}",{'大戶': 16},"{'國外': 4, '機場': 2, '保費': 5, '保險': 1, '機票': 1}"
708,"{'玉山': 25, '中信': 1}",{'Pi': 10},{}
709,{},{},"{'電影': 1, '加油': 6, '出國': 1, '國外': 1}"
710,{},{},"{'旅遊': 3, '出國': 1}"
711,"{'玉山': 1, '台新': 1, '兆豐': 1}",{'gogo': 1},{}
712,"{'中國信託': 9, '中信': 4}",{},"{'加油': 1, '機票': 3, '飯店': 1}"
713,{},{},"{'出國': 1, '旅遊': 1}"
714,"{'中國信託': 1, '國泰': 1, '玉山': 1, '台新': 1}",{},{}
715,"{'中國信託': 1, '國泰世華': 1}",{},"{'電影': 1, '加油': 1}"
716,{},{},"{'加油': 1, '機票': 1, '機場': 1}"
717,{},{},"{'加油': 3, '電影': 1, '海外': 1}"
718,"{'玉山': 14, '中信': 1}",{'Pi': 1},{}
719,{},{},"{'國外': 9, '海外': 8}"
720,{},{},{'機票': 11}
721,{'國泰': 1},{'大戶': 3},"{'電影': 1, '加油': 1, '旅遊': 2, '保險': 1}"
722,{},{},"{'國外': 4, '旅遊': 2, '保費': 2}"
723,{},{},"{'旅遊': 2, '威秀': 2, '國外': 2, '海外': 1}"
724,{},{},{'國外': 6}
725,{},{},"{'電影': 2, '加油': 2, '出國': 2, '機票': 1}"
726,"{'中信': 1, '中國信託': 3}",{},"{'加油': 1, '國外': 1}"
727,{},{},"{'電影': 1, '加油': 1}"
728,{},{},{}
729,{},{},"{'加油': 2, '海外': 1}"
730,"{'國泰': 1, '台新': 25, 'Richart': 4}",{},{}
731,{},{},{}
732,{'永豐': 27},{'大戶': 19},"{'國外': 23, '機場': 2, '保費': 1, '旅遊': 11, '飯店': 6, '出國': 1, '機票': 1}"
733,{'永豐': 36},{'大戶': 13},"{'國外': 2, '機場': 1, '保費': 2}"
734,{},{},"{'電影': 1, '加油': 2}"
735,{},{},{'國外': 5}
736,{},{},{'國外': 1}
737,{},{},"{'電影': 1, '加油': 1}"
738,{'玉山': 31},{'Pi': 28},{}
739,{},{},"{'電影': 1, '加油': 1, '國外': 2, '海外': 2, '旅遊': 1}"
740,"{'玉山': 13, '兆豐': 23, '台新': 4, '國泰': 4, 'KOKO': 6, '國泰世華': 5, 'Richart': 2}",{'Pi': 1},"{'電影': 2, '保費': 1}"
741,{'玉山': 26},{'Pi': 32},"{'國外': 4, '電影': 2, '加油': 2, '旅遊': 2, '保險': 1, '旅平險': 1, '機場': 2, '機票': 1, '保費': 1}"
742,"{'國泰': 18, '玉山': 19, '中信': 10, '國泰世華': 10, 'KOKO': 1, '中國信託': 5}",{},{}
743,{},{},{}
744,"{'玉山': 1, '永豐': 1}",{},{}
745,{'台新': 7},{},{'加油': 1}
746,{},{},"{'加油': 2, '威秀': 1}"
747,{'玉山': 8},{},"{'加油': 2, '電影': 1}"
748,{},{},{'加油': 1}
749,"{'中國信託': 4, '玉山': 3, '中信': 12, '國泰': 3, '台新': 2}",{'Pi': 8},{}
750,{},{},{'國外': 4}
751,{},{},{'運動': 1}
752,{},{},{'國外': 7}
753,{'國泰': 2},{},"{'旅遊': 17, '機票': 14, '出國': 3, '機場': 7, '飯店': 1, '國外': 1, '旅行': 1}"
754,"{'玉山': 2, '兆豐': 1}",{'Pi': 8},{}
755,{},{},{}
756,{},{},"{'國外': 3, '出國': 1, '機場': 1}"
757,{},{},"{'電影': 1, '加油': 2, '國外': 8}"
758,{},{},"{'電影': 4, '加油': 3, '威秀': 1, '國賓': 2}"
759,{'永豐': 30},{},{}
760,"{'中國信託': 1, '永豐': 1}",{},{'國外': 1}
761,{'玉山': 11},{'Pi': 20},{}
762,"{'台新': 8, 'richart': 1}",{'gogo': 1},"{'電影': 1, '加油': 6, '中油': 6}"
763,{},{},{'加油': 1}
764,"{'中國信託': 4, '國泰': 1}",{},{'加油': 2}
765,{},{},"{'加油': 1, '電影': 2}"
766,{'玉山': 4},{},{'加油': 1}
767,"{'國泰': 13, 'KOKO': 20, '國泰世華': 12}",{},"{'海外': 1, '出國': 1}"
768,"{'永豐': 5, '兆豐': 1, '台新': 1, '國泰': 3, 'KOKO': 2, '玉山': 1}",{'大戶': 5},"{'機場': 1, '海外': 3, '國外': 2}"
769,{'永豐': 26},{'大戶': 4},"{'機場': 1, '國外': 2}"
770,"{'玉山': 7, '國泰': 2, '台新': 3, '兆豐': 5, '中國信託': 4, '永豐': 4, '國泰世華': 4}",{},"{'電影': 2, '加油': 1, '出國': 1, '國外': 1, '機場': 1}"
771,{'台新': 1},{},{}
772,{},{},{'國外': 1}
773,"{'國泰': 15, '國泰世華': 7}",{},{}
774,{},{},{'國外': 8}
775,{},{},{'威秀': 2}
776,{},{},"{'旅遊': 2, '國外': 2, '海外': 1}"
777,{},{},{}
778,"{'國泰': 9, '台新': 7, '中信': 2, 'KOKO': 2}",{},{}
779,"{'玉山': 7, '國泰': 3, 'KOKO': 3, '永豐': 3}","{'Only': 2, '大戶': 3, 'Pi': 1}","{'海外': 1, '國外': 1}"
780,"{'國泰': 4, 'KOKO': 2, '玉山': 4}",{},{}
781,"{'台新': 13, 'Richart': 4}",{},"{'旅遊': 1, '國外': 1}"
782,"{'中信': 1, '中國信託': 2}",{},"{'國外': 1, '海外': 1}"
783,"{'中國信託': 8, '中信': 11}",{},"{'海外': 2, '機場': 1}"
784,{},{},{'威秀': 2}
785,{},{},{}
786,"{'國泰世華': 5, '國泰': 1}",{},"{'電影': 1, '加油': 1, '出國': 2, '國外': 5, '海外': 9, '旅遊': 2}"
787,"{'中國信託': 4, '中信': 3}",{},{'加油': 1}
788,{},{},{'加油': 1}
789,{},{},"{'加油': 1, '國外': 2}"
790,{},{},{'加油': 1}
791,{'台新': 4},{},"{'加油': 1, '出國': 1}"
792,{},{},{'加油': 1}
793,{},{},{'加油': 1}
794,"{'玉山': 1, '永豐': 1}",{},{}
795,{'永豐': 2},{},{}
796,{},{},"{'電影': 3, '加油': 1, '旅遊': 4, '國外': 5, '海外': 3, '威秀': 2, '出國': 1}"
797,{'玉山': 106},"{'Pi': 18, 'Only': 16}","{'加油': 5, '電影': 2, '旅遊': 1, '機場': 5}"
798,{},{},"{'國外': 2, '旅遊': 1, '海外': 1}"
799,{},{},"{'國外': 1, '海外': 1, '威秀': 1, '機票': 1}"
800,{},{},"{'電影': 1, '加油': 1, '海外': 1, '旅遊': 3, '保險': 1, '機場': 5, '機票': 1, '出國': 1}"
801,{},{},"{'旅遊': 1, '海外': 1, '加油': 1}"
802,{},{},{'加油': 1}
803,"{'台新': 2, '永豐': 1, '國泰世華': 1, '玉山': 1, '中國信託': 2, '中信': 1}",{},{'電影': 5}
804,"{'玉山': 6, '中信': 3, '兆豐': 1}",{},{'電影': 6}
805,{'台新': 32},{'GOGO': 1},"{'電影': 1, '加油': 1, '威秀': 1, '海外': 4, '保費': 3}"
806,{},{},{'國外': 4}
807,{},{},{'機票': 1}
808,{},{},{'保險': 1}
809,"{'國泰': 2, 'koko': 2}",{},{'電影': 1}
810,{},{},"{'旅遊': 2, '出國': 1}"
811,"{'國泰': 19, '國泰世華': 14, 'KOKO': 2, '玉山': 1}",{},{}
812,"{'國泰': 1, 'KOKO': 1, '兆豐': 1, '玉山': 2, '台新': 2}",{},"{'國外': 1, '電影': 1}"
813,{},{},{}
814,{},{},"{'旅遊': 2, '出國': 1}"
815,{},{},"{'旅遊': 2, '出國': 1}"
816,{},{},"{'旅遊': 2, '出國': 1}"
817,{},{},"{'國外': 9, '旅遊': 6, '海外': 6, '出國': 1, '保費': 1}"
818,"{'台新': 12, 'richart': 1}",{'gogo': 1},"{'電影': 1, '加油': 1}"
819,{},{},"{'加油': 1, '機場': 6, '出國': 1, '旅遊': 1}"
820,{'中信': 2},{},"{'電影': 1, '加油': 3, '國外': 2, '旅行': 2}"
821,{},{},"{'電影': 1, '加油': 3, '出國': 1}"
822,{'玉山': 1},{},"{'電影': 1, '加油': 4, '出國': 1, '國外': 3, '旅遊': 3, '機場': 3, '機票': 3}"
823,{},{},"{'電影': 1, '加油': 1, '出國': 1}"
824,{},{},"{'電影': 1, '加油': 1, '出國': 1}"
825,{},{},"{'國外': 4, '海外': 3, '機票': 2, '出國': 1, '旅遊': 1}"
826,{},{},{'機票': 1}
827,"{'台新': 24, 'Richart': 26}",{'GOGO': 1},"{'保費': 1, '出國': 3, '機票': 1, '國外': 1, '旅遊': 1}"
828,{'中信': 1},{},"{'國外': 6, '機場': 2, '加油': 1}"
829,{},{},{'國外': 2}
830,{},{},"{'電影': 1, '加油': 15, '國外': 6, '出國': 1, '旅遊': 1}"
831,{'台新': 7},{'gogo': 2},"{'電影': 1, '加油': 1, '保險': 1}"
832,"{'國泰世華': 3, '國泰': 4, '中國信託': 1, '玉山': 1, '台新': 1}",{},"{'電影': 1, '加油': 1, '旅遊': 5, '飯店': 6, '機票': 1}"
833,{},{},"{'威秀': 5, '電影': 6}"
834,{},{},"{'電影': 4, '加油': 1, '出國': 1, '機票': 4, '機場': 1, '國外': 7}"
835,"{'永豐': 7, '玉山': 7, '中國信託': 7, '國泰': 2, '台新': 5, '國泰世華': 1}",{},{'加油': 1}
836,{'永豐': 24},{},{'保費': 2}
837,{'國泰': 2},{},"{'電影': 1, '加油': 1, '機票': 10, '出國': 3, '旅遊': 6, '機場': 1}"
838,{'永豐': 26},{},{'保費': 2}
839,{'台新': 7},{},"{'加油': 1, '機場': 1}"
840,"{'台新': 1, '中信': 1}",{},"{'加油': 1, '機票': 1}"
841,{},{},"{'電影': 1, '加油': 3, '國外': 5, '保險': 2}"
842,{},{},{'中油': 2}
843,"{'中信': 10, '玉山': 11, '國泰': 18, '中國信託': 1, 'KOKO': 3, '國泰世華': 3}",{},{}
844,{'中國信託': 2},{},"{'電影': 3, '加油': 4, '出國': 1, '中油': 3}"
845,{},{},{'國外': 4}
846,{},{},"{'電影': 1, '加油': 1, '機票': 1}"
847,{'玉山': 1},{},{}
848,{},{},{'國外': 1}
849,"{'國泰': 10, 'koko': 4, '國泰世華': 7}",{},{'旅遊': 1}
850,{},{},"{'海外': 2, '旅遊': 4, '機票': 1, '出國': 1}"
851,{},{},"{'電影': 1, '加油': 1}"
852,{},{},"{'電影': 1, '加油': 1, '保費': 2, '旅遊': 1}"
853,{},{},"{'電影': 1, '加油': 1}"
854,{},{},"{'電影': 6, '加油': 1}"
855,{},{},"{'加油': 2, '國外': 4, '保險': 1}"
856,{},{},"{'電影': 1, '加油': 1, '出國': 1, '保險': 1}"
857,{},{},"{'加油': 3, '國賓': 2, '電影': 1}"
858,{'國泰世華': 5},{},"{'電影': 1, '加油': 1, '出國': 1}"
859,{},{},"{'電影': 1, '加油': 1, '機場': 4, '飯店': 1, '保險': 2, '保費': 2, '出國': 1, '旅遊': 1, '國外': 1}"
860,"{'國泰': 9, '中信': 11, '玉山': 14, '國泰世華': 7, '中國信託': 4, 'koko': 1}",{},{}
861,"{'國泰': 4, 'KOKO': 6, '國泰世華': 4}",{'Pi': 1},"{'電影': 3, '加油': 1, '國賓': 3}"
862,{},{},"{'電影': 1, '加油': 1, '國外': 8, '海外': 10, '出國': 2, '旅遊': 3}"
863,{'永豐': 29},{'大戶': 6},"{'機場': 1, '國外': 1, '保險': 1}"
864,{},{'大戶': 2},{}
865,{},{},{'威秀': 1}
