,bank,card,act
1635,,,
1636,,,
1637,,,
1638,國泰,GoGo,加油
1639,,拍,
1640,,,機票
1641,玉山,Only,旅遊
1642,中國信託,,海外
1643,,,加油
1644,,,健身房
1645,,,保費
1646,,,旅平險
1647,,,
1648,,,
1649,,,
1650,,,出國
1651,,,加油
1652,玉山,拍,海外
1653,,,保費
1654,,,
1655,,,
1656,,,保險
1657,中國信託,,旅遊
1658,,,旅遊
1659,國泰世華,,旅遊
1660,,,
1661,,,電影
1662,,,旅遊
1663,,,旅遊
1664,國泰世華,,
1665,,,
1666,,,
1667,永豐,,
1668,,,
1669,,,國外
1670,,,
1671,,,
1672,中信,,
1673,,,
1674,Richart,大戶,國外
1675,,,
1676,,,
1677,,,機場
1678,,,
1679,,,
1680,,,旅行
1681,,,
1682,國泰世華,,
1683,,,旅遊
1684,,,
1685,玉山,御璽,旅遊
1686,永豐,,機票
1687,,,
1688,,,保費
1689,,,出國
1690,,,機場
1691,,,機票
1692,中國信託,,旅遊
1693,,,機票
1694,,,
1695,,,加油
1696,,,
1697,中信,,運動
1698,永豐,,
1699,,,
1700,,,國賓
1701,,,電影
1702,,,旅遊
1703,,,旅遊
1704,,,
1705,,,
1706,,,
1707,,,
1708,,,旅遊
1709,,,
1710,,,旅遊
1711,,,
1712,台新,,
1713,玉山,,
1714,,,旅遊
1715,,,
1716,,,
1717,中國信託,,
1718,,,旅遊
1719,,,保費
1720,,,機票
1721,台新,,
1722,玉山,,旅遊
1723,,,
1724,國泰世華,,
1725,,,
1726,,,
1727,中信,,
1728,,,海外
1729,,,
1730,玉山,,加油
1731,中信,,旅遊
1732,,,國外
1733,,,
1734,國泰世華,,
1735,,,旅遊
1736,,,
1737,,,旅遊
1738,,,出國
1739,中國信託,,海外
1740,,,旅遊
1741,中國信託,御璽,機票
1742,,,國外
1743,,,旅遊
1744,,,飯店
1745,中國信託,,加油
1746,,,
1747,,,
1748,,,旅遊
1749,國泰世華,,
1750,,,海外
1751,,,旅遊
1752,台新,鑽金,海外
1753,,,
1754,,,國外
1755,,,
1756,中信,,國外
1757,,,威秀
1758,兆豐,,
1759,,,旅遊
1760,永豐,,加油
1761,,,
1762,,,
1763,國泰世華,LINEPAY,飯店
1764,,,旅遊
1765,永豐,,國外
1766,,,旅遊
1767,,,
1768,國泰世華,,
1769,台新,,
1770,,,
1771,國泰世華,,
1772,,,
1773,,,保險
1774,台新,LINEPAY,國賓
1775,玉山,,
1776,,,旅遊
1777,永豐,,
1778,中信,,海外
1779,,,
1780,中信,,
1781,,,
1782,台新,,
1783,玉山,,加油
1784,,,
1785,國泰世華,,海外
1786,,,
1787,,,
1788,中國信託,,機票
1789,,,國外
1790,,,
1791,,,保險
1792,,,
1793,,,旅行
1794,,,
1795,,,
1796,國泰世華,,
1797,,,
1798,,,出國
1799,台新,御璽,旅遊
1800,,,
1801,,,旅遊
1802,,,海外
1803,中國信託,,
1804,,,
1805,國泰世華,,
1806,,,海外
1807,國泰,,保險
1808,,,
1809,,,
1810,中信,,保險
1811,中國信託,,運動
1812,,,旅遊
1813,中國信託,,
1814,,,
1815,,,
1816,中信,,
1817,,,
1818,,,旅遊
1819,,,
1820,,,
1821,,,
1822,,,
1823,,,
1824,國泰世華,,
1825,,,
1826,台新,,
1827,,,
1828,,,
1829,,,
1830,,,旅遊
1831,,,
1832,,,
1833,,,海外
1834,,,機場
1835,國泰世華,拍,旅遊
1836,玉山,拍,
1837,國泰世華,,
1838,玉山,拍,旅遊
1839,,,
1840,,,
1841,兆豐,,機票
1842,,,
1843,中信,,旅遊
1844,,,電影
1845,永豐,,
1846,,,國外
1847,永豐,,加油
1848,,,海外
1849,,,
1850,中信,,
1851,,,
1852,台新,,
1853,國泰世華,,
1854,國泰世華,,
1855,,,
1856,,,
1857,,,
1858,,,機票
1859,,,
1860,,,
1861,,,
1862,,,
1863,KOKO,,國賓
1864,國泰世華,,
1865,,,
1866,,,
1867,中國信託,,
1868,,,
1869,國泰世華,,飯店
1870,,,
1871,,,
1872,台新,,機票
1873,,,機場
1874,國泰世華,,
1875,,拍,
1876,,,保險
1877,玉山,,海外
1878,玉山,,加油
1879,玉山,,加油
1880,永豐,,加油
1881,中信,,旅遊
1882,,,
1883,中信,,海外
1884,,,
1885,玉山,Only,旅遊
1886,,,
1887,,,
1888,,,
1889,國泰世華,,旅遊
1890,,,
1891,,,
1892,國泰世華,,保險
1893,,Pi,國外
1894,,,機場
1895,永豐,,加油
1896,玉山,拍,海外
1897,,,電影
1898,永豐,DAWHO,機場
1899,國泰世華,,加油
1900,,,
1901,,,保險
1902,,,海外
1903,永豐,,
1904,國泰,,
1905,,Pi,國外
1906,,,旅遊
1907,,,旅遊
1908,,大戶,國外
1909,,,電影
1910,,,旅遊
1911,玉山,GoGo,海外
1912,台新,,
1913,中國信託,,
1914,,,國外
1915,,,旅遊
1916,玉山,Pi,海外
1917,,,國外
1918,Richart,大戶,國外
1919,,鑽金,加油
1920,,,加油
1921,台新,,保險
1922,永豐,大戶,機場
1923,永豐,,國外
1924,,,旅遊
1925,玉山,,
1926,中國信託,,加油
1927,,linepay,國外
1928,玉山,Pi,保費
1929,,,保費
1930,玉山,御璽,旅遊
1931,玉山,大戶,國外
1932,永豐,,保險
1933,玉山,Pi,
1934,台新,,電影
1935,,,加油
1936,玉山,UBear,加油
1937,中國信託,FlyGo,海外
1938,永豐,DAWHO,保費
1939,玉山,Pi,
1940,,,加油
1941,,,
1942,,,旅遊
1943,玉山,gogo,
1944,中國信託,,機票
1945,,,出國
1946,中國信託,,
1947,中國信託,,電影
1948,,,加油
1949,,,加油
1950,玉山,Pi,
1951,,,國外
1952,,,旅遊
1953,,,機票
1954,國泰,大戶,旅遊
1955,,,國外
1956,,,旅遊
1957,,,國外
1958,,,電影
1959,中國信託,,加油
1960,,,電影
1961,,,
1962,,,加油
1963,,,保費
1964,台新,GoGo,
1965,,,
1966,永豐,DAWHO,國外
1967,永豐,大戶,國外
1968,,,加油
1969,,,國外
1970,,,國外
1971,,,電影
1972,玉山,Pi,
1973,,御璽,國外
1974,玉山,,加油
1975,兆豐,GoGo,電影
1976,玉山,Pi,國外
1977,玉山,,
1978,,,
1979,玉山,,
1980,台新,御璽,加油
1981,,,加油
1982,玉山,,加油
1983,,,加油
1984,中信,Pi,
1985,中國信託,御璽,機票
1986,,,國外
1987,,,運動
1988,,,國外
1989,國泰,,旅遊
1990,玉山,Pi,
1991,,,
1992,,鑽金,國外
1993,,,國外
1994,,,電影
1995,永豐,,
1996,台新,鑽金,海外
1997,中國信託,,國外
1998,玉山,Pi,
1999,台新,gogo,加油
2000,,,加油
2001,中國信託,,加油
2002,,,電影
2003,玉山,,加油
2004,KOKO,,海外
2005,永豐,大戶,海外
2006,永豐,大戶,國外
2007,國泰世華,LINEPAY,飯店
2008,玉山,御璽,電影
2009,台新,,
2010,,,國外
2011,國泰,,
2012,,,國外
2013,,御璽,威秀
2014,,,旅遊
2015,,,
2016,國泰,GoGo,
2017,玉山,大戶,海外
2018,台新,LINEPAY,國賓
2019,國泰,,
2020,台新,GoGo,旅遊
2021,中國信託,,國外
2022,中信,,海外
2023,,,威秀
2024,,,
2025,國泰世華,,海外
2026,中國信託,鑽金,加油
2027,,,加油
2028,,,國外
2029,國泰世華,,海外
2030,,,加油
2031,台新,,加油
2032,,,加油
2033,,,加油
2034,玉山,,
2035,永豐,,
2036,,,國外
2037,玉山,Pi,加油
2038,,,國外
2039,,御璽,國外
2040,玉山,,加油
2041,國泰世華,,
2042,,御璽,機場
2043,,御璽,旅遊
2044,,,加油
2045,台新,,電影
2046,玉山,,電影
2047,台新,GoGo,海外
2048,,,國外
2049,,御璽,機票
2050,,,保險
2051,國泰,,電影
2052,國泰,,保險
2053,,,旅遊
2054,國泰,,
2055,玉山,GoGo,國外
2056,,,
2057,,,旅遊
2058,,,旅遊
2059,,,旅遊
2060,,,國外
2061,台新,GoGo,電影
2062,,,機場
2063,,,
2064,中信,,加油
2065,,,加油
2066,玉山,鑽金,加油
2067,,,電影
2068,,,電影
2069,,鑽金,國外
2070,,御璽,機票
2071,Richart,GoGo,出國
2072,中信,,國外
2073,,,國外
2074,,,旅遊
2075,,,加油
2076,台新,gogo,電影
2077,國泰,,飯店
2078,,,電影
2079,,,國外
2080,永豐,,加油
2081,永豐,,保費
2082,國泰,,機票
2083,永豐,,保費
2084,台新,,加油
2085,兆豐,,機票
2086,台新,,加油
2087,,拍,國外
2088,,,中油
2089,國泰,,
2090,中國信託,,加油
2091,,,國外
2092,,,電影
2093,玉山,,
2094,,,國外
2095,國泰,,旅遊
2096,台新,,
2097,,,旅遊
2098,,,電影
2099,,,保費
2100,,御璽,電影
2101,,,電影
2102,,,國外
2103,,,電影
2104,,,加油
2105,國泰世華,,電影
2106,,御璽,機場
2107,KOKO,,國賓
2108,玉山,,
2109,KOKO,Pi,電影
2110,,鑽金,海外
2111,永豐,大戶,機場
2112,,大戶,
2113,,御璽,威秀
2114,,御璽,國外
2115,玉山,拍,旅遊
2116,,,機票
2117,,,國外
2118,國泰世華,,
2119,台新,GoGo,機票
2120,,,電影
2121,國泰,御璽,旅遊
2122,台新,,電影
2123,兆豐,御璽,國外
2124,,,旅遊
2125,中國信託,,國外
2126,,御璽,機票
2127,國泰世華,,機場
2128,,,國外
2129,玉山,Only,旅遊
2130,,鑽金,電影
2131,台新,,電影
2132,,御璽,電影
2133,中國信託,,出國
2134,,,旅遊
2135,,,國外
2136,,,電影
2137,,,電影
2138,,,電影
2139,,,出國
2140,玉山,拍,海外
2141,,,國外
2142,,,機場
2143,,御璽,威秀
2144,,,保費
2145,台新,gogo,保費
2146,KOKO,,海外
2147,永豐,大戶,保費
2148,玉山,,國外
2149,,,
2150,,,
2151,中國信託,御璽,機票
2152,,,旅遊
2153,台新,,加油
2154,玉山,,機票
2155,,,海外
2156,中信,,海外
2157,玉山,Pi,保費
2158,,,機票
2159,中信,,海外
2160,台新,御璽,保險
2161,玉山,,機票
2162,,,中油
2163,Richart,大戶,國外
2164,玉山,Only,
2165,永豐,,保費
2166,,,國外
2167,,,國外
2168,中國信託,,機票
2169,,,威秀
2170,,,電影
2171,,,電影
2172,台新,,機票
2173,,,國外
2174,玉山,御璽,旅遊
2175,,鑽金,加油
2176,,,電影
2177,,,
2178,兆豐,Pi,加油
2179,,,加油
2180,中國信託,,威秀
2181,台新,gogo,保險
2182,兆豐,,電影
2183,,,國外
2184,,,加油
2185,,,
2186,,,機票
2187,,,海外
2188,台新,GoGo,保費
2189,,,海外
2190,KOKO,Pi,國賓
2191,,,電影
2192,永豐,大戶,國外
2193,,,國外
2194,永豐,大戶,國外
2195,永豐,,電影
2196,,,旅遊
2197,中信,,機場
2198,,,出國
2199,,,出國
2200,中國信託,,機票
2201,中國信託,Pi,國外
2202,,,電影
2203,台新,,電影
2204,,,電影
2205,台新,GoGo,電影
2206,台新,GoGo,電影
2207,,,保費
2208,,,機票
2209,,,機票
2210,,,加油
2211,兆豐,御璽,國外
2212,,,電影
2213,,,國外
2214,,,
2215,國泰,gogo,飯店
2216,中信,,加油
2217,Richart,FlyGo,機票
2218,玉山,,加油
2219,,,威秀
2220,中國信託,,機場
2221,國泰,Pi,國外
2222,國泰,,國外
2223,,,國外
2224,,,海外
2225,中信,,國外
2226,玉山,Pi,電影
2227,台新,,海外
2228,中國信託,,國外
2229,中國信託,御璽,機票
2230,KOKO,,海外
2231,,,加油
2232,兆豐,,電影
2233,台新,,機票
2234,,PI,國外
2235,中國信託,,海外
2236,Richart,GoGo,出國
2237,中國信託,,機場
2238,,,國外
2239,兆豐,,電影
2240,台新,鑽金,海外
2241,,,國外
2242,中信,,機票
2243,,,
2244,,,威秀
2245,國泰,,加油
2246,,,
2247,,,
2248,,,
2249,,,
2250,,,出國
2251,國泰世華,LINEPAY,飯店
2252,,,出國
2253,,,加油
2254,,,出國
2255,,,出國
2256,,,出國
2257,,,海外
2258,,,飯店
2259,,,
2260,,,
2261,國泰,,機票
