,age,serveTime,ApplyCard,credLimit,Loan,SalPerY,holdCard,Caree
163,,,[],,,,0,2
164,,,[],,,,0,2
165,,,[],,,,0,2
166,,3,"['匯豐', '元大', '鑽金', '花旗', '饗樂卡', '玉山', 'Pi', '簡單卡']",,0,360000,1,2
167,22,2,['聯邦'],184000,0,630000,0,2
168,29,16,"['玉山', '渣打', '現金回饋御璽卡', '台新', 'GoGo', '中信']",150000,3,360000,1,2
169,23,26,[],100000,0,400000,0,2
170,24,,[],,1,400000,1,2
171,,,[],,,,0,2
172,24,8,"['台新', 'GoGo']",,1,300000,0,2
173,28,10,"['台新', 'GoGo']",,0,570000,0,4
174,,,[],,,,0,2
175,,,[],,,,0,2
176,,,[],,,,0,2
177,22,1,[],,,300000,1,2
178,,24,['GoGo'],200000,0,600000,1,2
179,23,12,['GoGo'],,0,500000,1,2
180,,96,[],400000,,,0,4
181,27,,[],565000,0,400000,1,2
182,25,24,['美國運通'],248000,0,650000,1,2
183,21,13,[],20000,0,300000,1,2
184,28,24,[],,3,600000,0,3
185,,36,"['美國運通', '國泰']",60000,1,,0,2
186,39,54,[],621000,3,,1,4
187,,12,[],100000,1,,1,2
188,29,24,['美國運通'],1000000,,1300000,1,2
189,,,[],,,,0,2
190,,,[],,,,0,2
191,26,12,['美國運通'],,0,512000,1,2
192,21,24,[],100000,0,450000,1,2
193,,,[],,,,0,2
194,30,60,['美國運通'],150000,3,,0,2
195,,,[],,,,0,2
196,,,[],,,,0,2
197,28,36,[],,0,,1,2
198,,,[],,,,0,2
199,,,[],,,,0,2
200,34,120,[],,0,2300000,0,4
201,24,24,[],,0,,0,2
202,26,24,[],,1,800000,1,2
203,,,[],,,,0,2
204,,,[],,,,0,2
205,,,[],,,,0,2
206,,,[],,,,0,2
207,29,84,['中信'],190000,3,,1,2
208,29,10,['澳盛'],80000,1,480000,0,2
209,,,[],,,,0,2
210,,,[],,,,0,2
211,28,10,"['國泰', 'KOKO']",100000,0,360000,0,2
212,36,,[],16000,0,1200000,1,2
213,,,[],,,,0,2
214,,,[],,,,0,1
215,,,[],5000,,,1,2
216,,,[],,,,1,2
