,age,serveTime,ApplyCard,credLimit,Loan,SalPerY,holdCard,Caree
640,31,60,"['中信', '台新']",,,,1,2
641,30,,"['兆豐', 'e秒刷鈦金卡']",800000,2,,1,2
642,25,6,[],200000,0,800000,1,2
643,24,4,[],125000,1,700000,0,2
644,27,24,[],,1,500000,1,2
645,25,,[],,0,800000,0,2
646,28,36,[],,,1500000,0,2
647,31,84,"['中信', '玉山']",,1,800000,1,3
648,30,36,[],,0,650000,0,2
649,22,7,['中信'],70000,0,600000,0,3
650,30,48,[],250000,0,700000,0,2
651,27,39,[],450000,,,0,2
652,,,[],,,,0,2
653,35,108,[],600000,0,,1,2
654,,,[],,,,0,2
655,,,[],300000,,,0,2
656,,,[],,,,1,2
657,24,48,[],170000,1,480000,1,2
658,,,"['中信兄弟聯名卡', '富邦悍將聯名卡', '富邦悍將聯名卡']",750000,,,1,2
659,28,15,[],100000,0,400000,1,2
660,32,48,[],,0,200000,0,2
661,,,[],,,,0,2
662,29,48,"['中信', '台新', '新光']",100000,0,,0,2
663,,,[],,,,1,2
664,26,24,[],,3,,0,2
665,,,[],,,,0,2
666,28,4,[],,1,700000,0,2
667,28,24,"['中信', '台新', '玉山', '花旗', '元大']",180000,0,,0,2
668,36,36,[],,,,1,2
669,22,,[],,0,,1,2
670,30,36,[],180000,0,500000,1,2
671,22,,[],20000,0,600000,0,2
672,22,,[],20000,0,600000,0,2
673,25,13,[],,0,360000,1,2
674,,2,[],90000,0,300000,0,2
675,,96,"['中信', '哆啦A夢JCB聯名卡']",430000,,600000,1,2
676,26,34,[],,0,500000,0,2
677,26,34,[],,0,500000,0,2
678,,,[],,,,0,2
679,,,[],,,,0,2
680,,,[],,0,,0,3
681,27,4,[],,3,,1,2
682,,,[],,,,0,2
683,32,,[],150000,0,,0,4
684,24,1,[],240000,0,550000,0,2
685,,,[],,,,0,2
686,26,2,"['中信', '國泰', 'KOKO']",250000,0,,1,2
687,,24,"['中信', '台新', '國泰', '花旗']",50000,1,,0,2
688,25,5,[],,0,400000,1,2
689,28,,"['中信', '國泰', 'KOKO']",,0,800000,0,2
690,24,13,['中信'],100000,0,420000,0,2
691,32,108,['中信'],480000,2,1200000,0,2
692,,36,['中信'],275000,0,,0,2
693,35,12,[],120000,0,550000,0,2
694,,,[],,,,0,2
695,25,36,['中信'],60000,3,450000,0,1
696,,,[],60000,,,0,2
697,23,,[],,0,300000,0,2
698,,,[],500000,,,0,2
699,38,24,[],450000,,1100000,1,2
700,,,[],,,,0,2
701,24,2,[],,0,360000,0,2
702,27,0,"['中信', '中信']",335000,3,1200000,1,2
703,29,12,[],,0,500000,1,2
704,,,[],,,,0,2
705,,,[],,,,0,2
706,28,15,['中信'],195000,0,480000,1,3
707,20,0,['中信'],,0,,0,1
708,23,36,['中信'],125000,,600000,0,2
709,25,24,['中信'],200000,,500000,0,2
710,25,4,['中信'],80000,1,700000,1,2
711,22,1,"['中信', '國泰', 'KOKO', '台新', 'GoGo', '聯邦']",60000,0,400000,0,2
712,,,[],,,,0,2
713,,,[],,,,0,2
714,29,2,[],116000,0,400000,1,2
715,,,['日盛'],750000,,,1,2
716,,,"['星展', 'everyday鈦金卡']",272000,,,1,2
717,22,24,"['中信', '元大', '鑽金', '匯豐', '現金回饋御璽卡', '國泰', '現金回饋御璽卡']",,,,0,2
718,25,1,"['中信', 'LINEPay']",,0,500000,1,2
719,30,36,[],600000,2,,1,4
720,25,12,[],100000,0,550000,0,2
721,34,120,[],,2,,1,2
722,28,48,[],,,1500000,0,2
723,31,72,[],1000000,0,,0,2
724,26,,[],,0,1170000,0,2
725,,20,[],600000,0,,0,2
726,,,[],,,,0,2
727,22,,[],20000,0,,1,1
728,,,"['中信', '花旗', '酷玩卡', '酷玩卡']",,,,0,2
729,,,[],,,,0,2
730,27,,[],110000,0,750000,0,2
731,,120,['中信'],,,,1,3
732,,96,[],,,,1,2
733,27,36,['中信'],,0,500000,1,2
734,30,60,['中信'],,,,0,2
735,,,[],,,,0,2
736,,,[],,,,0,2
737,25,0,[],150000,0,,1,1
738,,3,"['中信', 'LINEPay']",,0,,0,2
739,,24,"['中信', 'LINEPay']",150000,0,,0,2
740,,24,[],150000,0,,0,2
741,25,,['中信'],125000,1,,1,2
742,,48,[],800000,2,1700000,1,2
743,37,24,[],,0,500000,0,2
744,28,24,[],150000,3,,0,2
745,38,192,['中信'],600000,0,1520000,1,2
746,,96,['LINEPay'],,,,0,2
747,25,1,"['中信', 'LINEPay']",33000,0,300000,0,2
748,28,12,[],,0,,1,4
749,25,16,"['中信', 'LINEPay']",140000,0,400000,1,2
750,,6,"['中信', 'LINEPay']",155000,0,800000,1,2
751,30,48,"['中信', 'LINEPay']",400000,0,1600000,1,4
752,20,0,"['中信', 'LINEPay']",,,,0,2
753,21,,"['中信', 'LINEPay']",20000,0,270000,1,1
754,25,5,"['中信', 'LINEPay']",100000,1,530000,0,2
755,31,10,"['中信', 'LINEPay']",210000,1,770000,0,2
756,,,[],,,,0,2
757,38,12,[],,0,400000,1,2
758,,,[],,,,0,2
759,,,[],,,,0,2
760,,,[],,,,0,2
761,29,60,['中信'],,0,,1,2
762,27,34,['中信'],255000,,600000,0,2
763,,,[],,,,0,2
764,,,[],,,,0,2
765,46,144,['中信'],450000,0,1200000,1,2
766,39,96,['中信'],,0,600000,1,3
767,35,8,"['中信', 'LINEPay']",20000,0,500000,1,3
768,,,[],,,,0,2
769,,,[],,,,0,2
770,38,60,[],,0,550000,1,2
771,,,[],,,1300000,0,2
772,27,,['中信'],60000,1,410000,1,2
773,26,,[],,0,800000,0,2
774,35,72,[],700000,0,,1,2
775,,,['花旗'],,,,0,2
776,30,,[],,0,260000,0,2
777,22,13,"['星燦卡', 'GoGo', 'LINEPay', '鑽金', 'KOKO']",100000,0,30,0,2
778,,,[],,,,0,2
779,,,[],,,,0,2
780,,,[],,,,0,2
781,23,24,['中信'],,0,,1,2
782,,,[],,,,0,2
783,,,[],,,1000000,0,2
784,35,84,[],330000,0,,0,3
785,,,[],,,,0,2
786,,,[],,,,0,2
787,,,[],,,,0,2
788,,,[],,,,0,2
789,,,[],,,,0,2
790,,,[],,,,0,2
791,,,[],,,,0,2
792,,,[],,3,,0,2
793,,,[],,,,0,2
794,,,[],,,,0,2
795,,,[],,,,0,2
796,,,[],,,,0,2
797,,,[],,,,0,2
798,,,[],,,,0,2
799,,,[],,,,0,2
800,28,36,[],,0,500000,1,2
801,24,12,[],50000,0,450000,1,2
802,29,36,[],,0,850000,1,2
803,26,36,[],,1,,0,2
804,26,36,[],,1,,0,2
805,26,36,[],,1,,0,2
806,30,60,[],250000,0,1000000,0,2
807,23,,"['元大', '鑽金', '國泰', 'KOKO']",,0,,0,2
808,26,21,[],80000,0,530000,1,3
809,,156,"['元大', '鑽金']",80000,0,,0,2
810,33,84,"['元大', '鑽金']",,0,700000,1,2
811,24,4,[],,1,700000,1,2
812,30,96,[],,,420000,0,2
813,26,,"['台新', 'Richart']",,0,750000,1,2
814,,,[],120000,,,0,2
815,27,,['元大'],80000,0,360000,0,2
816,24,5,"['元大', '鑽金']",60000,1,800000,1,2
817,31,27,[],120000,0,500000,0,2
818,26,24,"['元大', '鑽金']",50000,1,600000,1,2
819,31,78,"['元大', '鑽金']",,3,700000,1,2
820,,,['元大'],,,,0,2
821,27,22,[],80000,0,550000,0,2
822,,,['元大'],,,,0,2
823,,,[],,,,0,2
824,,,[],210000,,,0,2
825,,,[],,,,0,2
826,30,,['元大'],80000,0,360000,0,2
827,32,12,"['元大', '鑽金']",150000,0,600000,1,3
828,,,[],,,,0,2
829,27,51,[],,0,600000,1,2
830,,,[],,,,0,2
831,,,[],,,,0,2
832,,,[],120000,,,0,2
833,24,,"['元大', '鑽金']",1200000,,,1,2
834,27,36,[],,0,950000,1,2
835,,,[],,,,0,2
836,,,[],,,,0,2
837,,,[],,,,0,2
838,30,,['華南'],,0,,1,3
839,,,[],360000,,,0,2
840,,72,[],350000,,,0,2
841,,,[],,,,0,2
842,32,84,[],,0,,1,4
843,,,[],,,,0,2
844,28,0,['鑽金'],50000,0,360000,0,2
845,,22,"['元大', '鑽金', '中信']",205000,0,600000,1,2
846,,,[],,,,0,2
847,25,4,"['元大', '鑽金', '台新', 'GoGo']",60000,0,530000,0,2
848,28,36,"['元大', '鑽金']",150000,0,450000,1,2
849,23,5,"['元大', '鑽金']",30000,0,300000,1,2
850,45,96,"['元大', '鑽金']",,0,2000000,1,2
851,,,[],,,,0,2
852,27,0,[],50000,0,350000,0,2
853,,,[],150000,,,0,2
854,34,60,[],,0,,1,2
855,39,,"['元大', '鑽金', '玉山', 'Pi', '星展', '炫晶御璽卡']",,0,,1,2
856,26,12,"['元大', '鑽金']",120000,0,800000,0,2
857,25,11,[],80000,0,600000,1,2
858,,11,"['元大', '鑽金']",,0,,0,2
859,30,4,"['元大', '鑽金']",50000,0,960000,0,2
860,27,12,"['台新', 'GoGo']",,0,480000,1,2
861,30,,"['元大', '鑽金']",80000,0,,0,2
862,29,65,[],200000,0,750000,1,3
863,26,24,[],150000,0,700000,0,2
864,,,[],,3,,1,2
865,28,,"['元大', '鑽金']",,2,800000,0,2
866,24,4,['鑽金'],60000,0,400000,1,2
867,22,12,[],30000,0,250000,0,2
868,23,7,[],50000,0,330000,1,2
869,23,6,"['元大', '鑽金', '元大', '鑽金']",,0,770000,1,4
870,29,36,[],160000,0,500000,1,2
871,26,14,[],,0,400000,1,2
872,28,22,[],80000,0,350000,1,2
873,,,[],,0,,0,2
874,,24,"['元大', '鑽金']",130000,0,750000,1,2
875,30,36,[],,3,400000,1,2
876,22,4,"['元大', '鑽金']",50000,0,600000,1,4
877,29,36,[],,0,700000,1,2
878,29,14,"['元大', '鑽金']",2410000,0,600000,1,2
879,24,,"['元大', '鑽金']",100000,0,45000,1,2
880,,,[],160000,,,0,2
881,32,48,[],,0,,0,2
882,25,10,"['元大', '鑽金']",150000,0,600000,1,2
883,23,4,"['元大', '鑽金']",,0,600000,0,2
884,27,24,"['元大', '鑽金']",60000,0,750000,0,2
885,27,28,"['元大', '鑽金', '台新', 'GoGo', '國泰', 'KOKO']",,0,300000,1,2
886,25,8,[],,0,700000,0,2
887,28,24,[],,0,400000,1,2
888,23,4,"['元大', '鑽金', '星展']",,0,400000,1,2
889,23,30,"['元大', '鑽金']",20000,0,360000,1,4
890,,48,"['元大', '鑽金', '台新', 'GoGo']",180000,0,430000,1,2
891,33,3,"['元大', '鑽金']",,3,960000,1,3
892,,,[],,,,0,2
893,29,7,"['元大', '鑽金']",,0,600000,1,2
894,,24,[],,,,0,2
895,,,[],,,,0,2
896,29,,[],60000,2,,1,2
897,23,12,"['元大', '鑽金']",50000,0,540000,1,2
898,24,12,['鑽金'],,0,460000,1,2
899,26,16,[],80000,0,350000,1,2
900,25,35,"['元大', '鑽金']",150000,,600000,1,4
901,28,12,[],80000,0,,1,2
902,32,12,[],100000,3,330000,1,2
903,25,,[],100000,0,300000,1,2
904,27,3,"['元大', '鑽金']",80000,0,750000,0,2
905,23,12,[],100000,0,450000,1,4
906,27,24,[],,0,400000,0,2
907,26,12,[],80000,0,420000,1,2
908,28,15,[],165000,0,600000,0,3
909,,,[],,,,0,2
910,24,24,[],20000,0,550000,0,4
911,,,[],,,,0,2
912,31,24,[],150000,0,650000,0,2
913,,,[],,,,0,2
914,25,24,[],,1,380000,1,3
915,45,16,"['元大', '鑽金']",,0,70000,0,2
916,,,[],,,,0,2
917,,,[],,,,0,2
918,,,[],180000,,,0,2
919,26,,[],60000,0,,0,2
920,22,12,[],,0,400000,1,2
921,34,84,[],200000,0,,1,2
922,,,[],,,,0,2
923,29,24,[],,3,600000,1,3
924,28,,[],100000,0,630000,0,4
925,34,67,"['星展', '炫晶御璽卡']",182000,0,550000,0,2
926,27,24,"['元大', '鑽金']",80000,1,480000,0,2
927,22,,[],,0,510000,0,3
928,26,12,['元大'],,1,600000,0,2
929,39,0,['元大'],100000,0,420000,0,2
930,30,24,['元大'],100000,0,410000,0,2
931,26,36,['兆豐'],80000,0,400000,1,2
932,28,12,"['兆豐', 'Gogoro聯名卡']",50000,1,500000,1,3
933,,,[],,,,0,2
934,23,0,"['兆豐', 'Gogoro聯名卡']",,0,,0,2
935,30,15,[],60000,0,450000,1,2
936,25,,[],300000,0,,1,4
937,27,1,"['兆豐', '統一獅聯名卡']",,0,600000,0,2
938,27,1,"['兆豐', '統一獅聯名卡']",,0,600000,0,2
939,,48,"['兆豐', '永豐']",,0,50000,1,2
940,,12,"['兆豐', 'e秒刷鈦金卡']",,1,400000,0,2
941,27,48,"['兆豐', 'e秒刷鈦金卡']",50000,0,300000,0,2
942,27,48,[],,1,,0,2
943,26,0,"['中信', 'LINEPay', '兆豐']",100000,1,800000,1,2
944,26,12,[],,0,500000,1,2
945,21,,"['兆豐', 'e秒刷鈦金卡']",20000,0,200000,1,1
946,21,36,"['兆豐', 'e秒刷鈦金卡']",,0,150000,1,1
947,23,6,"['兆豐', 'e秒刷鈦金卡']",,0,0,1,2
948,22,3,"['兆豐', 'e秒刷鈦金卡']",140000,1,400000,1,2
949,,,[],,,,0,3
950,,,[],,,,0,2
951,,12,[],,0,800000,1,2
952,28,32,"['兆豐', 'e秒刷鈦金卡']",,0,750000,1,2
953,28,24,[],150000,0,800000,1,2
954,,24,[],,0,,1,2
955,21,12,"['兆豐', 'e秒刷鈦金卡']",,0,180000,0,2
956,28,19,"['兆豐', 'e秒刷鈦金卡']",80000,1,600000,1,2
957,27,12,"['兆豐', 'e秒刷鈦金卡']",,0,380000,1,2
958,,,[],,,,0,2
959,29,8,"['兆豐', 'e秒刷鈦金卡']",,1,280000,0,2
960,29,8,"['兆豐', 'e秒刷鈦金卡']",,1,280000,0,2
961,,,[],,,,0,2
962,31,48,"['兆豐', 'e秒刷鈦金卡']",130000,0,,1,2
963,21,24,[],20000,0,120000,1,2
964,26,4,"['兆豐', '台中銀行']",,1,600000,0,2
965,34,20,[],,,600000,1,3
966,28,36,[],,0,500000,1,2
967,33,21,"['兆豐', 'e秒刷鈦金卡']",,1,550000,1,2
968,,,[],,,,0,2
969,37,117,[],120000,0,620000,1,3
970,30,,"['兆豐', 'e秒刷鈦金卡']",150000,2,700000,1,4
971,,,[],,,,0,2
972,,,[],,,,0,2
973,,,[],,,,0,2
974,,,[],,,,0,2
975,,,[],,,,0,2
976,,,[],,,,0,2
977,,,[],,,,0,2
978,27,0,['兆豐'],60000,0,340000,1,2
979,27,72,[],,0,550000,0,2
980,27,10,[],,0,800000,0,2
981,,,[],,,,0,2
982,,,[],,,,0,2
983,,,[],,,,0,2
984,,,['e秒刷鈦金卡'],,,,0,2
985,23,7,[],,,300000,1,2
986,,36,"['兆豐', 'e秒刷鈦金卡']",,0,450000,1,2
987,,12,"['兆豐', 'e秒刷鈦金卡']",,1,420000,0,2
988,25,12,"['兆豐', 'e秒刷鈦金卡', '台新', 'GoGo']",50000,0,360000,0,2
989,33,96,"['兆豐', 'e秒刷鈦金卡']",,0,,1,2
990,,24,"['兆豐', 'e秒刷鈦金卡']",,0,600000,1,3
991,22,2,[],,0,420000,1,2
992,28,1,[],,1,400000,1,2
993,27,57,[],20000,0,500000,1,2
994,26,5,"['兆豐', 'Gogoro聯名卡']",,0,400000,0,2
995,25,,['兆豐'],130000,0,800000,1,2
996,21,3,['Gogoro聯名卡'],90000,0,360000,1,2
997,,,"['兆豐', 'Gogoro聯名卡']",,0,,0,2
998,25,8,['兆豐'],100000,0,300000,1,2
999,,12,[],,0,,0,2
1000,27,57,[],,0,500000,1,2
1001,,,[],,,,0,2
1002,22,3,['Gogoro聯名卡'],,1,400000,1,2
1003,22,3,['Gogoro聯名卡'],,1,400000,1,2
1004,,,['兆豐'],20000,0,,1,1
1005,,,[],,,,0,2
1006,,,[],400000,,,0,2
1007,30,4,[],,3,960000,0,2
1008,,,[],,,,0,2
1009,36,108,[],,0,900000,1,3
1010,,,"['兆豐', '統一獅聯名卡']",,1,,0,2
1011,,120,"['兆豐', '統一獅聯名卡', '玉山', 'Pi']",190000,0,,1,3
1012,29,,['兆豐'],120000,0,,0,2
1013,,,[],,,,0,2
1014,22,,[],,,200000,1,1
1015,,,[],,,,0,2
1016,,,[],,,,0,2
1017,,,[],,,,0,2
1018,29,6,[],,,120000,1,3
1019,,,[],,,,0,2
1020,25,12,[],,0,,0,2
1021,,,[],,,,0,2
1022,36,36,[],,,,1,2
1023,36,108,[],600000,0,,1,2
1024,,,[],960000,,,0,2
1025,33,12,"['兆豐', 'e秒刷鈦金卡']",250000,2,,1,2
1026,20,24,[],,0,240000,0,2
1027,,12,[],200000,0,,0,2
1028,,,[],,,,0,2
1029,,,[],4200,,,0,2
1030,,,[],,,,0,2
1031,32,120,['凱基'],120000,0,700000,0,2
1032,,,[],,,,0,2
1033,,48,['凱基'],,0,,1,2
1034,22,0,['凱基'],50000,0,400000,0,2
1035,,,[],,,,0,2
1036,,,[],,,,0,2
1037,23,2,"['富邦', '數位生活卡']",,0,400000,1,3
1038,27,58,[],,0,600000,1,2
1039,25,3,[],,0,,0,2
1040,25,1,['玉山'],150000,1,800000,0,2
1041,25,1,"['中信', 'LINEPay']",130000,1,900000,0,2
1042,,,[],,,,0,2
1043,,,[],,,,0,2
1044,25,2,"['國泰', '台新', 'GoGo']",50000,0,950000,1,2
1045,20,12,[],20000,0,100000,0,1
1046,24,,"['國泰', 'KOKO']",60000,0,200000,0,2
1047,22,,"['富邦', '數位生活卡']",50000,0,360000,0,2
1048,23,60,"['台新', 'GoGo', '兆豐']",30000,0,360000,1,2
1049,,,[],,1,,0,2
1050,23,48,"['中信', 'LINEPay', '玉山', 'Pi', '兆豐']",30000,1,,1,3
1051,,,[],,,,0,2
1052,,,['國泰'],,,,0,2
1053,33,36,['國泰'],100000,0,,1,2
1054,24,2,['一銀'],,1,,1,2
1055,30,24,"['台新', 'Flygo']",,1,400000,1,2
1056,27,24,"['國泰', 'KOKO', '玉山']",,,900000,1,2
1057,42,36,['星燦卡'],200000,0,1500000,1,2
1058,27,52,[],,0,600000,1,2
1059,,,[],60000,,500000,0,2
1060,,,[],,,,0,2
1061,27,58,[],,0,500000,1,2
1062,30,24,"['台新', 'Flygo']",,1,700000,0,3
1063,25,12,[],,0,400000,0,2
1064,28,67,[],,0,600000,1,2
1065,27,52,[],,0,600000,1,2
1066,,,[],,,,0,2
1067,27,58,[],,0,600000,1,2
1068,,,[],,,,0,2
1069,37,10,"['玉山', 'Only']",300000,,,0,2
1070,31,7,"['玉山', 'Only']",,2,,1,2
1071,,,[],,,,0,2
1072,,,"['富邦', 'omiyage']",,0,,1,2
1073,25,12,[],180000,3,600000,0,3
1074,28,48,['匯豐'],30000,0,450000,1,2
1075,30,36,[],,0,400000,1,2
1076,27,12,"['匯豐', '現金回饋御璽卡']",150000,0,350000,1,2
1077,37,12,[],,0,2100000,0,2
1078,32,96,"['匯豐', '現金回饋御璽卡']",230000,0,,1,2
1079,25,0,"['匯豐', '現金回饋御璽卡']",,0,,1,2
1080,,60,[],,1,1000000,1,2
1081,23,0,[],,0,400000,1,2
1082,27,48,[],,0,900000,0,4
1083,,120,[],,,600000,1,2
1084,,12,[],,0,,0,2
1085,31,48,[],,0,600000,1,2
1086,32,48,['匯豐'],70000,,1200000,1,2
1087,,,[],,,,0,2
1088,28,36,"['國泰', 'KOKO', '元大', '鑽金']",200000,0,,0,2
1089,24,348,['現金回饋御璽卡'],80000,1,400000,1,2
1090,30,53,"['匯豐', '現金回饋御璽卡']",80000,0,580000,1,2
1091,28,24,"['台新', 'GoGo', '匯豐', '現金回饋御璽卡']",,1,560000,1,2
1092,27,5,[],,,1100000,1,4
1093,27,34,"['匯豐', '現金回饋御璽卡']",340000,1,,1,2
1094,,36,[],310000,,1200000,1,2
1095,24,1,[],80000,0,540000,0,2
1096,30,36,[],200000,0,420000,1,2
1097,26,6,[],,0,600000,1,3
1098,30,48,[],,0,800000,1,2
1099,25,1,['匯豐'],,,,0,2
1100,26,36,"['匯豐', '現金回饋御璽卡']",,0,400000,1,2
1101,26,12,"['匯豐', '現金回饋御璽卡']",80000,0,450000,1,2
1102,,,[],,,,0,2
1103,34,78,"['匯豐', '現金回饋御璽卡']",,0,,1,2
1104,24,4,"['匯豐', '現金回饋御璽卡']",100000,0,600000,0,2
1105,25,3,"['匯豐', '現金回饋御璽卡']",80000,0,360000,0,2
1106,30,60,"['匯豐', '現金回饋御璽卡']",,0,450000,1,2
1107,39,83,"['匯豐', '現金回饋御璽卡']",,0,400000,0,2
1108,29,24,"['匯豐', '現金回饋御璽卡']",,0,500000,1,2
1109,,96,"['匯豐', '現金回饋御璽卡']",,0,500000,1,2
1110,31,48,[],80000,0,700000,1,2
1111,,53,"['匯豐', '現金回饋御璽卡']",150000,3,1000000,0,2
1112,25,0,"['匯豐', '現金回饋御璽卡']",80000,0,,1,2
1113,33,29,"['匯豐', '現金回饋御璽卡']",70000,0,380000,0,2
1114,24,14,"['匯豐', '現金回饋御璽卡']",150000,1,600000,0,2
1115,28,9,"['匯豐', '現金回饋御璽卡']",,2,600000,1,2
1116,30,,[],200000,0,250000,1,2
1117,26,12,[],,0,500000,1,2
1118,28,53,[],,,720000,1,2
1119,31,9,"['匯豐', '現金回饋御璽卡']",100000,0,500000,0,2
1120,,72,['現金回饋御璽卡'],,0,570000,1,2
1121,27,40,[],80000,0,600000,1,2
1122,,,[],,,,0,2
1123,25,24,"['匯豐', '現金回饋御璽卡']",20000,1,700000,1,2
1124,29,2,"['匯豐', '現金回饋御璽卡']",180000,0,,1,2
1125,34,132,"['匯豐', '現金回饋御璽卡']",,0,750000,1,2
1126,29,60,[],280000,3,800000,1,2
1127,26,5,"['匯豐', '現金回饋御璽卡']",,0,420000,0,2
1128,20,8,[],20000,0,200000,0,1
1129,24,23,[],,0,450000,0,2
1130,28,2,[],,0,1200000,1,2
1131,27,4,[],60000,0,500000,0,4
1132,22,12,['匯豐'],110000,1,540000,0,2
1133,36,48,['匯豐'],,0,3300000,1,4
1134,36,108,['匯豐'],,0,,1,2
1135,,,[],,,,0,2
1136,39,,"['華南', '富邦', '數位生活卡']",,0,700000,1,2
1137,37,117,[],,0,620000,1,3
1138,,,[],,,,0,2
1139,,,[],,,,0,2
1140,28,48,"['匯豐', '現金回饋御璽卡']",150000,0,700000,1,2
1141,,,[],,,,0,2
1142,,6,['LINEPay'],,1,450000,0,2
1143,30,36,[],,0,,1,2
1144,,,[],,,,0,2
1145,,,[],,,,0,2
1146,29,,['星展'],50000,0,700000,1,4
1147,,,[],,,,0,2
1148,,,[],,,,0,2
1149,44,,['台中銀行'],,0,750000,1,2
1150,,,[],,,,0,2
1151,,,[],,0,500000,0,2
1152,,,[],,0,500000,0,2
1153,27,36,[],,0,900000,0,4
1154,,,[],,,,0,2
1155,37,96,[],,,1000000,1,2
1156,22,14,['omiyage'],60000,0,330000,0,2
1157,35,96,['omiyage'],120000,0,,0,3
1158,22,2,"['富邦', '數位生活卡']",40000,0,420000,0,2
1159,,1,[],,,,0,2
1160,28,4,"['富邦', '富邦悍將聯名卡']",300000,0,1350000,1,2
1161,28,24,['富邦'],50000,3,300000,1,2
1162,34,60,['數位生活卡'],140000,0,513000,0,4
1163,22,2,[],,0,36000,0,2
1164,22,,[],40000,0,,0,1
1165,23,,[],120000,0,40000,0,2
1166,27,24,"['富邦', 'LINEPay']",60000,,500000,0,2
1167,,,"['富邦', 'omiyage']",,0,,1,2
1168,26,9,['omiyage'],200000,0,1000000,1,4
1169,26,36,['富邦'],70000,0,650000,1,2
1170,,,[],,,,0,2
1171,,,[],,,,0,2
1172,27,36,[],,0,750000,0,2
1173,,,[],,,,0,2
1174,32,84,"['台新', 'Flygo', 'GoGo']",200000,0,900000,1,2
1175,27,24,"['台新', 'GoGo']",,0,1000000,1,2
1176,30,36,['渣打'],,0,250000,1,1
1177,,4,"['台新', 'GoGo', 'Flygo']",160000,0,800000,1,2
1178,21,3,"['台新', 'GoGo']",120000,0,500000,1,3
1179,27,,"['台新', 'GoGo']",60000,0,400000,0,2
1180,30,5,"['GoGo', 'Flygo']",,0,740000,1,4
1181,22,24,[],,0,820000,1,2
1182,,12,"['台新', 'GoGo', 'GoGo']",,0,350000,0,2
1183,33,8,"['台新', 'GoGo']",,0,600000,0,3
1184,33,48,"['台新', 'GoGo']",210000,0,450000,1,2
1185,32,72,[],,0,,0,2
1186,35,36,"['台新', 'GoGo']",280000,3,1200000,1,2
1187,24,0,"['台新', 'GoGo']",50000,0,240000,0,2
1188,23,0,['GoGo'],30000,0,0,1,2
1189,24,1,"['台新', 'GoGo']",150000,1,1000000,0,2
1190,28,0,"['台新', 'GoGo']",150000,0,300000,0,2
1191,27,20,"['台新', 'GoGo', 'Flygo']",,0,390000,1,2
1192,25,8,[],100000,0,300000,0,2
1193,25,36,"['台新', 'GoGo']",200000,0,700000,0,3
1194,29,16,"['台新', 'GoGo', 'Flygo']",,1,600000,1,3
1195,25,12,"['台新', 'GoGo']",,0,1000000,0,2
1196,26,60,[],,0,360000,0,2
1197,24,0,"['台新', 'GoGo']",,0,400000,1,3
1198,25,8,"['台新', 'GoGo']",20000,1,130000,0,2
1199,25,4,"['台新', 'GoGo']",60000,1,400000,0,2
1200,32,84,['GoGo'],200000,0,600000,1,2
1201,22,7,"['台新', 'GoGo']",80000,0,400000,1,2
1202,,60,"['GoGo', 'GoGo']",,0,450000,1,4
1203,27,19,"['台新', 'Flygo']",,0,400000,0,2
1204,31,72,[],,0,,1,2
1205,25,2,"['台新', 'Flygo', '台新', 'GoGo']",100000,0,750000,1,4
1206,,132,"['台新', 'Flygo']",300000,0,,1,2
1207,30,13,[],,0,,0,3
1208,28,24,['Flygo'],,3,1700000,1,2
1209,23,12,"['台新', 'Flygo']",20000,0,300000,1,1
1210,21,6,"['台新', 'Flygo', 'GoGo', 'GoGo']",20000,0,180000,1,1
1211,22,20,"['台新', 'Flygo']",50000,0,400000,0,2
1212,23,36,[],20000,0,90000,0,1
1213,23,36,[],20000,0,90000,0,1
1214,25,,[],50000,1,240000,1,2
1215,24,21,"['台新', 'Flygo']",,0,500000,1,2
1216,38,96,"['台新', 'Flygo']",300000,0,700000,0,2
1217,26,1,"['台新', 'Flygo']",,0,400000,1,3
1218,25,4,"['台新', 'Flygo', 'Flygo']",50000,0,400000,0,3
1219,,36,['台新'],,0,800000,1,2
1220,28,36,['台新'],,0,400000,1,2
1221,30,84,['GoGo'],,0,555000,1,3
1222,32,108,"['台新', 'GoGo']",600000,3,,1,2
1223,23,,"['台新', 'GoGo']",,0,420000,0,2
1224,29,84,[],,0,1000000,1,2
1225,28,60,"['台新', 'GoGo']",,0,600000,1,2
1226,33,10,"['台新', 'GoGo']",410000,0,,1,2
1227,29,12,[],,3,,0,2
1228,29,36,"['台新', 'GoGo']",100000,0,,1,2
1229,,,"['台新', 'GoGo']",,0,400000,0,4
1230,25,3,"['台新', 'GoGo']",,0,500000,1,2
1231,47,72,['GoGo'],,0,500000,1,2
1232,24,12,"['台新', 'GoGo']",,0,500000,1,2
1233,29,36,['Richart'],260000,0,810000,0,2
1234,24,12,"['台新', 'GoGo']",150000,0,450000,0,2
1235,,24,[],,0,750000,1,2
1236,27,12,"['中信', '台新', 'GoGo', '新光']",,,400000,0,4
1237,36,24,['台新'],200000,3,3000005,1,2
1238,24,1,"['台新', 'GoGo']",50000,0,,1,2
1239,30,52,[],,,,0,2
1240,23,1,['台新'],50000,,500000,0,2
1241,,12,['台新'],,0,500000,1,2
1242,26,,[],100000,0,,1,4
1243,29,,['凱基'],,2,,0,2
1244,,,[],,,,0,2
1245,31,4,[],,0,,1,2
1246,24,3,[],,0,,1,2
1247,27,12,[],,0,480000,0,2
1248,25,0,[],,0,,0,2
