rec_no,vs1,vs2,vq1,vq2,vq3,vq4,vq5,vq6,vq7,vq8_1,vq8_2,vq8_3,vq8_4,vq8_5,vq8a,vq9,vq9a,vq10_1,vq10_2,vq10_3,vq10_4,vq10_5,vq10a,vq11,vq12_1,vq12_2,vq12_3,vq12_4,vq12_5,vq12_6,vq12_7,vq12a,vq13,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14a,vq15_1,vq15_2,vq15_3,vq15_4,vq15_5,vq15a,vq16,vq17,vq18_1,vq18_2,vq18_3,vq18_4,vq18_5,vq18_6,vq18_7,vq18_8,vq18a,vq19,vq20_1,vq20_2,vq20_3,vq20_4,vq20_5,vq20_6,vq20_7,vq20a,vq21,vq22_1,vq22_2,vq22_3,vq22_4,vq22_5,vq22a,vq23_1,vq23_2,vq23_3,vq23_4,vq23_5,vq23a,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24a,vq25_1,vq25_2,vq25_3,vq25_4,vq25_5,vq25_6,vq25_7,vq25_8,vq25a,vq26_1,vq26_2,vq26_3,vq26_4,vq26_5,vq26_6,vq26_7,vq26_8,vq26a,vq27,vq28,vq29,vq29a,vq30_1,vq30_2,vq30_3,vq30_4,vq30_5,vq30_6,vq30_7,vq30_8,vq30a,vq31_1,vq31_2,vq31_3,vq31_4,vq31_5,vq31_6,vq31_7,vq31_8,vq31a,vq32_1,vq32_2,vq32_3,vq32_4,vq32_5,vq32_6,vq32_7,vq32_8,vq32a,vq33_1,vq33_2,vq33_3,vq33_4,vq33_5,vq33_6,vq33_7,vq33_8,vq33a,vq34_1,vq34_2,vq34_3,vq34_4,vq34_5,vq34_6,vq34_7,vq34_8,vq34a,vq35_1,vq35_2,vq35_3,vq35_4,vq35_5,vq35_6,vq35_7,vq35_8,vq35a,vq36_1,vq36_2,vq36_3,vq36_4,vq36_5,vq36_6,vq36_7,vq36_8,vq36a,vq37_1,vq37_2,vq37_3,vq37_4,vq37_5,vq37_6,vq37_7,vq37_8,vq37a,vq38_1,vq38_2,vq38_3,vq38_4,vq38_5,vq38_6,vq38_7,vq38_8,vq38a,vq39_1,vq39_2,vq39_3,vq39_4,vq39_5,vq39_6,vq39_7,vq39_8,vq39a,vq40_1,vq40_2,vq40_3,vq40_4,vq40_5,vq40_6,vq40_7,vq40_8,vq41_1,vq41_2,vq41_3,vq41_4,vq41_5,vq41_6,vq41_7,vq41_8,vq41a,vq42,vq43_1,vq43_2,vq43_3,vq43_4,vq43_5,vq43_6,vq43_7,vq43_8,vq43a,vq44_1,vq44_2,vq44_3,vq44_4,vq44_5,vq44_6,vq44_7,vq44_8,vq44a,vq45_1,vq45_2,vq45_3,vq45_4,vq45_5,vq45_6,vq45_7,vq45_8,vq45a,vq46,vq47,vq48_1,vq48_2,vq48_3,vq48a,vq49,vq50,vq51,vq52,vq53,vq54,vq55,vq56,vq57_1,vq57_2,vq57_3,vq57_4,vq57_5,vq57a,vq58,vq59_1,vq59_2,vq59_3,vq59_4,vq59_5,vq59_6,vq59_7,vq59_8,vq60,vq60a,vq61,vq62,vq63,vq64,vq65,vq66,vq67,vq68,vq69,vq70_1,vq70_2,vq70_3,vq70_4,vq70_5,vq70_6,vq70_7,vq70_8,vq70a,vq71_1,vq71_2,vq71_3,vq71_4,vq71_5,vq71_6,vq71_7,vq71_8,vq72,vq73,vq74,vq75,vq76,vq77,vq78,vq78a,vq79,vq80,vq81,vq81a,vq82_1,vq82_2,vq82_3,vq82_4,vq82_5,vq82_6,vq82_7,vq82_8,vq82a,vq83,vq83a,vq84,vq85_1,vq85_2,vq85_3,vq85_4,vq85_5,vq85_6,vq85_7,vq85_8,vq85a,vq86_1,vq86_2,vq86_3,vq86_4,vq86_5,vq86_6,vq86_7,vq86_8,vq86a,vq87_1,vq87_2,vq87_3,vq87_4,vq87_5,vq87_6,vq87_7,vq87a,vq88,vq89,vq90,vq91,vq92,vq93_1,vq93_2,vq93_3,vq93_4,vq93_5,vq93_6,vq93_7,vq93_8,vq93a,vq94_1,vq94_2,vq94_3,vq94_4,vq94_5,vq94_6,vq94_7,vq94a,vq95,vq96,vq97,vq97a,vq98,vq98a,vq99,vq99a,vq100,vq100a,vq101,vq101a,vq102,vq102a,vs3,vs4,vs6,vs7,vs7a,vs8,vs9,vs10,vs11,vs12_1,vs12_2,vs12_3,vs12_4,vs12_5,vs12_6,vs12_7,vs12_8,vs12a,vs12b,vs12c,vs12d,vs12e,vs12f,vs12g,vs12h,vs12i,vs12j,vs12k,vs12l,vs12m,vs12n,vs12z,vs12za,varea,age,area,sex,marriage,edu,income,live,job,w3
728,3,3,59,1,3,2,1,23,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,9, , , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20,21,22,23, , , ,101,102,104,106,302,304,306,403, ,3, , , , , , , , , , , , , , , , , , ,8, , , , , , , , ,95, ,2, , , , , , , , , , ,2,96, , , , , ,5,8,19, , , , , , ,9, ,9,8,10,9,9,9,9,8,2,95, , , , , , , , ,95, , , , , , , ,3,3,3,3,2, ,1, ,2, ,1, ,3,5,8,10, , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,2,4,1,2,5,9,10, , , , ,1,3,4, , , , , ,5,4,3, ,2, ,1, ,3, ,1, ,2, ,2,1,5,3, ,6,4,0,4,1,4,6,8, , , , ,3, , ,4, ,2, ,2, , , , , , , , ,2004,4,200,1,2,5,6,1,3,1.3538068347449
5207,4,4,78,2,1,3,1,6,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6, , , , , , , ,2, , , , , , , , ,2,6, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20, , , , , , ,101,102,103,302,303,304,402, , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,4,5,7, , , ,5,6,1, , , , , ,1,1, , ,1,2,1, ,1,2,96, ,1,2,4,7,8,9, , , ,3, ,1,4,8,18, , , , , , ,9,15, , , , , , , ,1, , , , , , , ,1,1,3,2,2,1,2,3,5,6,9,10,12, ,1, , , , , , , ,4,5,4, ,1, ,2, ,4, ,1, ,2, ,1,1,7,17, ,4,5,1,4,1,4,8,12, , , , ,3, , ,4, , , ,2, , , ,1, , , , ,3003,2,300,2,1,7,4,1,17,1.24877337873627
736,8,8,75,1,3,2,1,25,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,9, , , , , , ,95, , , , , , , , ,95, , , , , , , , ,1,2,1, ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20,21,22, , , , ,101,102,302,304,306,402,403, , ,3, , , , , , , , , , , , , , , , , , ,8, , , , , , , , ,95, ,2, , , , , , , , , , ,2,94, , , , ,不會用連網，只會使用車內音響,2,8,19, , , , , , ,5, ,9,8,9,9,9,10,9,9,2,95, , , , , , , , ,95, , , , , , , ,3,3,3,3,1,3,1, ,1,3,1, ,2,6,8, , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,5,1,2,3,5,6,7,11,12, ,3, , , , , , , ,5,4,3, ,1, ,2, ,3, ,1, ,2, ,2,1,7,3, ,6,5,98,4,1,4,6,7,9, , , ,3, , ,4, ,3,3, ,1, , , , , , , ,2005,2,200,1,2,7,6,1,3,.313907814422915
5715,10,10,46,1,3,2,1,996,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,9, , , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20, , , , , , ,101,103, , , , , , , ,2, , , , , , , , , ,14,9,3,17, , , , , ,8, , , , , , , , ,95, ,2, , , , , , , , , , ,3,96, , , , , ,3,8,16, , , , , , ,94,93.7,8,8,5,5,5,1,8,5,2,1,2, , , , , , , ,1, , , , , , , ,1,5,5,2,2, ,96, ,2, ,96, ,1,2,7, , , , , , ,2, ,1,2,8,9,19, , , , , ,15, , , , , , , , ,1, , , , , , , ,3,3,3,1,2,1,4,7,10,11,12, , , ,1, , , , , , , ,5,5,2, ,1, ,96, ,2, ,1, ,96, ,2,1,4,3, ,6,5,1,4,1,4,6,8, , , , ,2, , ,4, ,3, ,1, , , , , , , , ,3004,5,300,1,2,4,6,1,3,2.18952673987431
741,8,8,62,2,1,2,1,30,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,9, , , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20,21,22, , , , ,101,102,106,201,204,302,304,306, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,95, , , , , , , ,3,5, , ,2, ,1, ,2, ,1, ,2,6,9,10, , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,5,1,2,5,9,10,12, , , ,1, , , , , , , ,5,5,3, ,1, ,6, ,3, ,1, ,6, ,2,1,5,3, ,6,4,0,4,1,4,6,8, , , , ,2, , ,4, ,2, ,3, , , , , , , , ,2005,3,200,2,2,5,6,1,3,.39327170672116
3463,3,3,61,1,3,2,1,25,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,9, , , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20,21,22, , , , ,101,102,106,201,204,302,304,306, ,3, , , , , , , , , , , , , , , , , , ,8, , , , , , , , ,95, ,2, , , , , , , , , , ,2,94, , , , ,不會用連網，只會使用車內音響,2,8,18, , , , , , ,12, ,9,8,10,9,9,9,9,9,2,95, , , , , , , , ,95, , , , , , , ,3,3,3,3,2, ,1, ,2, ,1, ,1,7,10, , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,2,1,1,2,3,7,11, , , , ,1, , , , , , , ,5,5,3, ,1, ,2, ,2, ,3, ,1, ,2,1,7,11, ,7,4,0,4,1,4,6,7,8, , , ,2, , ,4, ,2,2,2, , , , , , , , ,2004,4,200,1,2,7,7,1,11,1.3538068347449
740,8,8,77,2,3,1,1,30,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,8,9, , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20,21,22,23, , , ,101,102,106,302,304,306,403,602, ,3, , , , , , , , , , , , , , , , , , ,8, , , , , , , , ,95, ,2, , , , , , , , , , ,3,94, , , , ,不會用連網，只會使用車內音響,5,8,18, , , , , , ,10, ,9,9,7,10,8,9,10,8,2,95, , , , , , , , ,95, , , , , , , ,5,3,3,3,2, ,1, ,2, ,1, ,1,6,8,11, , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,2,1,1,2,5,6, , , , , ,3, , , , , , , ,5,4,3, ,1, ,2, ,3, ,1, ,2, ,1,1,7,3, ,4,4,0,4,1,4,6,8, , , , ,2, , ,4, ,2, ,3, , , , , , , , ,2005,2,200,2,1,7,4,1,3,.306779432448823
709,8,8,88,2,1,2,1,23,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,9, , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,21,22,23, , , , ,101,102,105,107,302,304,305,306, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,95, , , , , , , ,3,3, , ,1,3,1, ,1,3,1, ,1,4,5,6,7,8,9, , ,3, ,1,1,2,5,7,8,9,10,14, ,4, , , , , , , , ,1, , , , , , , ,3,3,3,2,4,1,2,6,8,9,10, , , ,1, , , , , , , ,5,5,3, ,2, ,1, ,2, ,3, ,1, ,1,1,7,21, , ,4,0,4,1,4,8,9, , , , ,2, , ,4, , , ,3,1, , , , , , , ,2005,1,200,2,1,7, ,1,21,.299543919742306
5021,12,12,84,1,96,1,1,0,1,2, , , , , ,2, ,96, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,9, , , , , ,6, , , , , , , , ,96, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1, ,1,3,1, ,98, , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4, ,96, ,96, ,2, ,98, ,98, ,1,1,7,6, ,98,4,0,4,1,4,6,8,9, , , ,2, , ,4, ,2, ,1,2, , , , , , , ,3002,1,400,1,1,7,96,1,6,.751770555541878
735,8,8,86,1,1,2,1,30,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,9, , , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20,21,22,23, , , ,101,102,302,304,305,306,403, , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,95, , , , , , , ,3,3, , ,2, ,1, ,2, ,1, ,3,6,8, , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,2,1,1,2,3,4,5,9,11, , ,1, , , , , , , ,5,4,3, ,1, ,2, ,3, ,1, ,2, ,1,1,7,21, , ,4,0,4,1,4,6,8, , , , ,2, , ,4, ,2, ,3, , , , , , , , ,2005,1,200,1,1,7, ,1,21,.306504176044026
708,8,8,83,1,1,2,1,23,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,8, , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,21,22,23, , , , ,101,102,106,301,302,304,601, , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,95, , , , , , , ,3,3, , ,2, ,1, ,2, ,1, ,4,6,7,8,10, , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,5,5,1,2,5,6,8,9,10, , ,1, , , , , , , ,4,5,2, ,1, ,3, ,2, ,1, ,3, ,1,1,7,3, ,5,4,0,4,1,4,6,9, , , , ,2, , ,4, ,2, , ,1, , , , , , , ,2005,1,200,1,1,7,5,1,3,.306504176044026
3456,3,3,59,2,3,2,1,40,1,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , ,1,95, , , , , , , ,2, , , , , , , , , , , , ,3,6,9, , , , , , ,3, , , , , , , , ,3, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20,21,22,23, , , ,101,102,106,201,204,302,304,306, ,3, , , , , , , , , , , , , , , , , , ,8, , , , , , , , ,95, ,2, , , , , , , , , , ,3,94, , , , ,不會用連網，只會使用車內音響,3,8,19, , , , , , ,10, ,9,9,10,8,10,9,9,9,2,95, , , , , , , , ,95, , , , , , , ,5,5,3,3,1,3,1, ,1,3,1, ,3,6,7,8,9, , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,2,5,1,2,3,4,5,9, , , ,1, , , , , , , ,4,5,3, ,1, ,4, ,3, ,1, ,2, ,2,1,5,8, ,5,4,0,4,1,4,6,8, , , , ,2, , ,4, ,2, ,2, , , , , , , , ,2004,4,200,2,2,5,5,1,8,1.3230638847647
721,3,3,65,2,1,2,1,25,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,9, , , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,21,22,23, , , , ,101,204,302,304,306, , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,95, , , , , , , ,3,3, , ,1,3,1, ,1,3,1, ,5,6,8, , , , , , ,3, ,1,1,2,3,4,5,12,15, , ,1,4,5,6, , , , , ,1, , , , , , , ,3,3,3,2,5,1,2,3,4,5,8,10, , ,1, , , , , , , ,5,4,3, ,1, ,2, ,3, ,1, ,2, ,2,1,5,7, ,5,4,0,4,1,4,6,8, , , , ,2, , ,4, ,2, ,2, , , , , , , , ,2004,3,200,2,2,5,5,1,7,1.36780197680248
5516,11,11,61,1,1,2,1,996,1,2, , , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20, , , , , , , ,101, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,1, , , , , , , ,1,1, , ,2, ,1, ,2, ,96, ,1,6, , , , , , , ,3, ,1,1,2,19, , , , , , ,98, , , , , , , , ,1, , , , , , , ,1,1,1,1,1,1,2, , , , , , , ,1, , , , , , , ,4,4,2, ,1, ,5, ,96, ,96, ,96, ,2,1,4,98, ,98,98,1,4,1,4,6,8, , , , ,2, , ,4, ,2, ,1, , , , , , , , ,3007,4,300,1,2,4,96,1,96,.316630893850929
1235,9,9,47,1,1,5,1,14,1,1,2, , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7, , , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, , , , , , , ,101,102,103,106,203,302, , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5, , , , , , ,95, , , , , , , ,1,1, , ,1,96,1, ,1,96,1, ,1,5,6,7,8,9, , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,2,4,1,2,5,7,11, , , , ,1, , , , , , , ,4,4,2, ,1, ,96, ,2, ,1, ,96, ,2,1,4,6, ,5,5,2,4,1,4,6,9, , , , ,2, , ,4, ,6, , ,1, , , , , , , ,2006,5,200,1,2,4,5,1,6,.695537012347727
719,3,3,87,1,1,2,1,20,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,9, , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22,23,24, , , , , ,101,105,204,301,302,303,304,306, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,95, , , , , , , ,3,3, , ,2, ,1, ,2, ,1, ,1,4,6,8,10, , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,5,5,1,2,5,6,10, , , , ,1, , , , , , , ,5,5,3, ,2, ,1, ,3, ,2, ,1, ,1,1,7,21, , ,4,0,4,1,4,6,8, , , , ,2, , ,4, ,2, ,2, , , , , , , , ,2004,1,200,1,1,7, ,1,21,1.06602384744775
314,7,7,54,1,3,2,1,28,1,2, , , , , ,2, ,90, , , , , ,1,1,2, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,8,9, , , , ,6, , , , , , , , ,6, , , , , , , , ,1,1, , ,94, , , , , , , ,只看新聞, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,20,21,22, , , , ,101,103,302, , , , , , ,3, , , , , , , , , , , , , , , , , , ,5, , , , , , , , ,2,1,1,2, , , , , , ,1, , , ,96, , , , , ,1,9,10,11,12,13,14,15,16,1, ,8,8,8,8,8,8,8,8,1,95, , , , , , , , ,95, , , , , , , ,1,3,3,3,2, ,1, ,1,3,1, ,1,6,8, , , , , , ,3, ,1,1,2,19, , , , , , ,15, , , , , , , , ,1, , , , , , , ,1,1,1,2,2,1,2,7,10, , , , , ,1, , , , , , , ,4,4,3, ,1, ,2, ,3, ,1, ,2, ,2,1,5,1, ,6,4,0,4,1,4,7,8,9, , , ,2, , ,4, , ,2,1,1, , , , , , , ,1011,4,600,1,2,5,6,1,1,.464988526103753
2640,5,5,63,1,3,1,1,14,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,9, , , , , , ,2,6, , , , , , , ,2,6, , , , , , , ,1,1, , ,4,5,7,9, , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,19,20, , , , , ,103,105,203,302,306,401,501, , ,3, , , , , , , , , , , , , , , , , , ,8, , , , , , , , ,95, ,96, , , , , , , , , , ,1,96, , , , , ,1,11, , , , , , , ,94,Kiss Radio,10,10,8,10,9,5,9,7,2,2,5, , , , , , , ,1,3, , , , , , ,2,2,1,3,1,3,1, ,1,3,1, ,2,3,7,8, , , , , ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,1,2,3,6,11, , , , ,2, , , , , , , ,3,4,1, ,3, ,2, ,6, ,1, ,3, ,2,1,5,7, ,7,4,2,4,1,4,7,8, , , , ,2, , ,4, , ,1,1, , , , , , , , ,4001,3,400,1,2,5,7,1,7,.991523365528919
5201,4,4,66,2,1,2,1,28,1,1,2, , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,9, , , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21,22, , , , , , ,103,109,202,204,302,303,306,402, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , ,1,4, , , , , , ,3,3, , ,1,3,96, ,1,3,96, ,1,2,5,6,8, , , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,2,2,1,2,5,6,8,12, , , ,1, , , , , , , ,4,4,2, ,3, ,5, ,2, ,3, ,4, ,2,1,6,15, ,4,5,2,4,1,4,8,11, , , , ,2, , ,4, , , ,1, , ,1, , , , , ,3003,3,300,2,2,6,4,1,15,1.60084799050369
