,age,card_apply,career,cred_l,h_card,sal,serv_t
245,,"['玉山', 'Pi', '花旗']",2,,1,,42
246,,"['台新', 'Flygo']",2,,1,,13
247,29,['元大'],2,250000,0,100000,4
248,26,[],2,,1,,
249,20,[],2,,1,100000,
25,,"['永豐', 'dawho', '台新', '花旗']",2,,1,,4
250,22,['玉山'],2,50000,1,,5
251,20,[],2,2000,1,250000,
252,,"['兆豐', 'e秒刷鈦金卡', '國泰', 'KOKO']",2,,1,,24
253,20,[],2,20000,1,,
254,21,[],1,20000,1,,
255,21,"['台新', 'GoGo', 'Flygo']",2,20000,1,,11
256,,"['國泰', 'KOKO']",2,,1,,
257,23,"['台新', 'GoGo']",2,80000,1,,13
258,23,"['兆豐', 'e秒刷鈦金卡', '國泰', 'KOKO']",2,100000,1,,
259,,[],2,,1,,42
26,20,"['匯豐', '現金回饋御璽卡']",1,,1,,24
260,,[],2,,1,,
261,,[],2,,1,,
262,20,['富邦'],2,20000,1,,17
263,27,"['永豐', '中信', 'LINEPay', '台新']",2,631 000,1,,3
264,30,"['中信', '玉山', 'Pi']",1,50000,1,,32
265,20,['永豐'],1,30000,0,,
266,,[],1,50000,1,,12
267,21,['dawho'],2,,1,200000,2
268,20,['GoGo'],2,,1,,24
269,,[],2,70000,1,400000,10
27,23,"['永豐', 'dawho', '玉山']",2,,1,,8
270,20,[],2,20000,1,,
271,22,[],2,20000,1,300000,6
272,21,['玉山'],1,20000,1,,
273,22,['玉山'],4,,1,,26
274,26,"['中信', '酷玩', '中信', '中信']",1,230000,1,80,
275,20,['玉山'],1,20000,1,200000,12
276,,"['永豐', 'dawho']",2,,1,,12
277,20,"['富邦', '富邦']",2,20000,0,150000,7
278,,['國泰'],1,,1,,12
279,20,[],1,,0,,
28,,['玉山'],4,,1,,12
280,23,['玉山'],2,30000(2,1,400000,1
281,20,[],2,20000,1,150000,
282,,[],2,,0,,
283,,[],2,,1,,
284,,['國泰'],2,20000,1,330000,21
285,27,"['中信', 'LINEPay']",2,80000(2,0,,
286,,"['台新', 'GoGo']",2,,1,,28
287,25,"['饗樂', '花旗', '饗樂']",2,120000,1,500000,
288,24,['玉山'],2,,1,450000,
289,29,"['台新', 'GoGo']",2,,1,,15
29,24,[],1,,1,200000,
290,20,[],2,20000,1,,
291,23,[],2,60000,1,600000,
292,23,"['永豐', 'dawho']",2,20000,1,260000,
293,22,['玉山'],2,120000,1,600000,22
294,23,['永豐'],2,300000,1,700000,36
295,26,[],1,230000,1,,
296,25,[],2,,1,,
297,23,"['中信', '花旗', '兆豐', '國泰', 'KOKO', '台新', 'GoGo']",2,,0,400000,
298,21,[],2,20000,1,150000,
299,,[],2,,1,,
3,,"['花旗', '饗樂']",2,30000,1,,2
30,20,['台新'],2,,1,150000,8
300,,"['玉山', 'Pi']",1,,1,,
301,20,['國泰'],1,,1,150000,
302,,[],2,"17,400",1,,
303,,['中信'],3,,1,530000,
304,,[],2,,1,,
