rec_no,vs1,vs2,vq1,vq2,vq3_1,vq3_2,vq3_3,vq3_4,vq3_5,vq3_6,vq3_7,vq3_8,vq3a,vq4_1,vq4_2,vq4_3,vq4_4,vq4_5,vq4_6,vq4_7,vq4_8,vq4a,vq5,vq5a,vq6_1,vq6_2,vq6_3,vq6_4,vq6_5,vq6_6,vq6_7,vq6_8,vq6a,vq7,vq7a,vq8,vq9_1,vq9_2,vq9_3,vq9_4,vq9_5,vq9_6,vq9_7,vq9_8,vq9a,vq10,vq11,vq12_1,vq12_2,vq12_3,vq12_4,vq12_5,vq12_6,vq12_7,vq12a,vq13_1,vq13_2,vq13_3,vq13_4,vq13_5,vq13_6,vq13_7,vq13_8,vq13a,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14_6,vq14_7,vq14_8,vq14a,vq15,vq16,vq16a,vq17_1,vq17_2,vq17_3,vq17_4,vq17_5,vq17a,vq18_1,vq18_2,vq18_3,vq18_4,vq18_5,vq18_6,vq18_7,vq18_8,vq19,vq20,vq21,vq22,vq22a,vq23,vq23a,vq24,vq24a,vq25,vq25a,vq26_1,vq26_2,vq27,vq28,vq29,vq30_1,vq30_2,vq30_3,vq30_4,vq30_5,vq30_6,vq30a,vq31,vq31a,vq32,vq32a,vq33,vq33a,vq34,vq34a,vq35,vq35a,vq36,vq36a,vq37,vq38_1,vq38_2,vq38_3,vq38_4,vq38_5,vq38_6,vq38_7,vq38_8,vq38a,vq39_1,vq39_2,vq39_3,vq39_4,vq39_5,vq39_6,vq39_7,vq39_8,vq39a,vq40,vq40a,vq41_1,vq41_2,vq41_3,vq41_4,vq41_5,vq41a,vq42,vq42a,vq43_1,vq43_2,vq43_3,vq43_4,vq43_5,vq43_6,vq43a,vq44_1,vq44_2,vq44_3,vq44_4,vq44_5,vq44_6,vq44a,vq45_1,vq45_2,vq45_3,vq45_4,vq45a,vq46_1,vq46_2,vq46_3,vq46_4,vq46a,vq47_1,vq47_2,vq47_3,vq47_4,vq47a,vq48_1,vq48_2,vq48_3,vq48a,vq49,vq50,vq51_1,vq51_2,vq51_3,vq51_4,vq51_5,vq51_6,vq51_7,vq51_8,vq51a,vq52_1,vq52_2,vq52_3,vq52_4,vq52_5,vq52_6,vq52_7,vq52_8,vq52a,vq53,vq54_1,vq54_2,vq54_3,vq54_4,vq54_5,vq54_6,vq54_7,vq54_8,vq54a,vq55_1,vq55_2,vq55_3,vq55_4,vq55_5,vq55_6,vq55_7,vq55_8,vq55a,vq56,vq57,vq57a,vq58,vq58a,vq59,vq60_1,vq60_2,vq60_3,vq60_4,vq60_5,vq60_6,vq60_7,vq60_8,vq61,vq61a,vq62,vq62a,vq63,vq63a,vq64,vq64a,vq65,vq66,vq67,vq68,vq69,vq70,vq71,vq72,vq73,vq74,vq75,vq76,vq77,vq78,vq79,vq80,vq81,vq82,vq83,vq84,vq85,vq86,vq87,vq88,vq89,vq90,vs3,vs4,vs6,vs7,vs7a,vs8,vs9,vs10,vs11,vs12_1,vs12_2,vs12_3,vs12_4,vs12_5,vs12_6,vs12_7,vs12_8,vs12a,vs12b,vs12c,vs12d,vs12e,vs12f,vs12g,vs12h,vs12i,vs12j,vs12k,vs12l,vs12m,vs12n,vs12z,vs12za,varea,age,area,sex,marriage,edu,income,live,job,w3
5216,4,4,41,2,6,1,3, , , , , , ,1,6, , , , , , , ,1, ,6,1, , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,10,8,13,6,2,15,14, ,6,6,6,1, ,96, ,801, ,5, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,96, , , , , , , , , , , , , , , , , , ,96, ,96, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,96, , ,1, , , , , , , ,1, ,1, ,96, ,96, ,96,96,96,96,96,96,96,96,96,96,96,96,96,2,3,96,96,96,96,96,96,96,96,96,96,96,2,2,3,20, , ,3,0,4,6,1,4,8, , , , ,2, , ,3, ,3, ,1, , , , , , , , ,3003,6,300,2,2,1, ,2,20,2.29915002639634
502,1,1,59,1,5,4,1,6, , , , , ,1,4,5, , , , , , ,5, ,4,1,5, , , , , , ,5, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,6,13,10,1,5,2, ,6,1,3,1, ,5, ,309, ,4, ,96, , , , ,2, , , , , , ,2, , , ,5, , , , , , , ,1,3,4,5,6,7,8,10,11, ,1,3,4,9, , , , , ,2, ,90, , , , , ,1, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,19, , , , , , , , ,19, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,3,8,10,11, , , ,1, ,1, ,6, ,8, ,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,6,10, ,3,4,0,2,3,1,4,5,8,9, , ,1, ,1,3,1, , ,1,1, , , , , , , ,1008,4,100,1,1,6,3,1,10,1.38190904351976
408,1,1,91,2,1,4,6, , , , , , ,1,6, , , , , , , ,6, ,6, , , , , , , , ,6, ,1,5,6, , , , , , , ,996,96, , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,20,8,1,3,6,10,7,3,2,1,2, ,96, ,9996, ,2, ,96, , , , ,1, , , , , , ,1, ,1, , , , , , , , , ,1,1,2,3,5,6,7,11, , ,2,3, , , , , , , ,1, ,90, , , , , ,1, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,16, , , , , , , , ,16, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,7,8, , , , , ,8, ,7, ,8, ,1, ,2,3,3,3,96,96,96,96,96,1,96,2,96,2,96,96,96,96,96,96,96,96,96,96,96,96,1,1,5,21, , ,3,0,4,4,1,6, , , , , ,1, , ,3, ,1, , , , , , , , , , ,1008,1,100,2,1,5, ,1,21,1.12016243482116
5020,11,11,91,1,1,6, , , , , , , ,1,6, , , , , , , ,6, ,6,1, , , , , , , ,6, ,1,6, , , , , , , , ,996,2, , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,26,13,2, , , , , ,1,1,96,1, ,96, ,901, ,1, ,1, ,96,999996, ,1,3,4, , , , ,1, ,1, , , , , , , , , ,1,1,2, , , , , , , ,3,8, , , , , , , ,2, ,1, , , , , ,1, ,3, , , , , , ,3, , , , , , ,1,2, , , ,1,2, , , ,2, , , , ,1, , , ,1,1,1, , , , , , , , ,1, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , ,1, ,1, ,7, ,8, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,21, , ,5,0,4,4,1,6, , , , , ,1, , ,3, ,1, , , , , , , , , , ,3002,1,300,1,1,5, ,1,21,.241836191436105
407,3,1,42,2,1,6,4,5, , , , , ,1,4,5,6, , , , , ,6, ,6,5,1, , , , , , ,6, ,1,3, , , , , , , , ,70,2, , , , , , , , ,3,4, , , , , , , ,3,4, , , , , , , , , , , , , , , , ,25,7,8,13,14,2,6, ,6,2,2,1, ,3, ,9996, ,3, ,96, , , , ,1,2, , , , , ,1, ,2, , , , , , , , , ,1,1,5, , , , , , , ,1, , , , , , , , ,2, ,90, , , , , ,1, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , ,1,3, , , , , , ,1, ,1, ,3, ,96, ,1,1,1,1,1,1,1,1,1,1,1,1,96,1,1,1,1,1,2,2,2,2,1,2,2,96,2,1,5,20, , ,5,1,4,4,1,5,6, , , , ,1, , ,3,2,7, , , , , , , , , , ,1008,5,100,2,2,5, ,1,20,1.63230595202217
122,2,2,74,2,1,6,3,10,4, , , , ,1,3,6, , , , , , ,3, ,3,6,1, , , , , , ,3, ,1,6,4,3,8,9, , , , ,21,1,2, , , , , , , ,1,3,4, , , , , , ,1,3,4, , , , , , ,2, , , , , , , , ,25,26,13,3,8,20,6,2,1,1,2,90, ,5, ,208, ,4, ,2, ,1, ,1333,1,3, , , , , ,1, ,4, , , , , , , , , ,1,1,2,4,5,6,7,10, , ,1,3,5,7,8, , , , ,1, ,1, , , , , ,1, ,3, , , , , , ,3, , , , , , ,1, , , , ,90, , , , ,1, , , , ,1, , , ,1,1,7,23,1,5,25,22,13,26, ,1,7,13,26, , , , , ,1,2, , , , , , , , ,94, , , , , , , ,停車費,999,1, , , ,2,1,2,7,8, , , , ,7, ,1, ,2, ,3, ,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,3,3,3,3,3,4,3,3,3,3,2,1,7,19, ,98,5,2,4,8,10,4,6,9, , , , , , ,6, ,2, ,1,2,1, , , , , , ,1001,2,100,2,2,7,96,1,19,.694159805163048
420,18,18,82,1,6,3,1, , , , , , ,1,3,6, , , , , , ,6, ,3,1,6, , , , , , ,6, ,1,3,5,8,6,9, , , , ,30,2, , , , , , , , ,4,7, , , , , , , ,4, , , , , , , , , , , , , , , , , ,3,25,1,7,27,5,26,2,5,5,5,1, ,6, ,9996, ,1, ,96, , , , ,1,3, , , , , ,1, ,3, , , , , , , , , ,1,5,8, , , , , , , ,1,3,4, , , , , , ,1, ,96, , , , , ,1, ,3, ,2, , , , ,2,3, , , , , ,1, , , , ,1, , , , ,1, , , , ,1, , , ,1,1,12, , , , , , , , ,12, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,6, , ,1,3,6,7,8,9,10, ,8, ,7, ,1, ,3, ,1,2,1,1,96,4,2,2,4,4,4,4,4,3,96,2,2,2,3,3,3,4,2,4,3,3,1,98,7,98, ,98,98,0,96,4,1,6,8, , , , ,1, , ,3, ,1, ,1, , , , , , , , ,1006,1,100,1,1,7,96,96,96,2.22560349707396
609,3,3,54,2,1,6,3, , , , , , ,1,3,6, , , , , , ,6, ,6,1, , , , , , , ,6, ,1,6,9, , , , , , , ,12,2, , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,2,1,3,13,8,25, , ,5,5,3,1, ,1, ,403, ,1, ,3, , , , ,1,3, , , , , ,1, ,3, , , , , , , , , ,1,11, , , , , , , , ,1,2,3, , , , , , ,2, ,90, , , , , ,3, ,3, ,2, , , , ,2,3, , , , , ,1, , , , ,90, , , , ,3, , , , ,1, , , ,1,1,2,20,11,27,4,7,13,6, ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,6,8,11,13, , ,1, ,96, ,8, ,10, ,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,4,3,96,96,3,3,4,2,2,2,96,2,1,7,11, ,6,3,0,4,8,1,6,4, , , , ,1, , ,3, ,2, ,1, , , , , , , , ,2001,4,200,2,2,7,6,1,11,1.39116276872542
2315,6,3,71,2,4,5,1,6,3, , , , ,1,5,6, , , , , , ,6, ,5,1,6, , , , , , ,5, ,1,6,9, , , , , , , ,10,2, , , , , , , , ,1,4, , , , , , , ,4, , , , , , , , , , , , , , , , , ,6,1,11,8,24,13,22,2,1,1,5,1, ,5, ,9994,凱擘,1, ,2, ,1, ,1500,1,2,3,4, , , ,1, ,3, , , , , , , , , ,1,1,2,3, , , , , , ,2,3, , , , , , , ,2, ,1,90, , , , ,1, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,2,18,19,4,7,1, , , ,7,18, , , , , , , ,1,9, , , , , , , , ,1, , , , , , , , ,2500,1, , , ,2,6,8, , , , , , ,8, ,1, ,3, ,7, ,1,1,1,1,1,1,1,3,2,1,2,1,3,2,2,2,2,2,2,2,2,2,2,3,2,96,2,2,7,9, ,5,4,2,4,8,1,9,6,5,4, , ,1, , ,3,2,1, ,1,1, , , , , , , ,5004,3,200,2,2,7,5,2,9,1.23393014277864
3308,11,11,63,2,3,8,6, , , , , , ,3,6, , , , , , , ,3, ,6,3, , , , , , , ,3, ,1,6,8,9, , , , , , ,4,2, , , , , , , , ,4, , , , , , , , ,90, , , , , , , , , , , , , , , , , ,25,8,2,7, , , , ,2,2,2,1, ,96, ,9995, ,1, ,3, , , , ,1,3, , , , , ,3, , , , , ,5, , , , , ,1,1,6,10, , , , , , ,2,3,7, , , , , , ,1, ,1, , , , , ,3, ,1,2,3, , , , ,1,2,3, , , , ,1, , , , ,1, , , , ,1,2, , , ,1, , , ,1,1,16,20,4, , , , , , ,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,3,6,8, , , , ,6, ,6, ,1, ,4, ,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,2,3,3,3,2,1,7,15, ,5,4,2,2,4,1,7,8, , , , ,1, , ,3, , ,1,2, , , , , , , , ,3006,3,300,2,2,7,5,1,15,.316534413229779
2916,11,11,86,1,5,6, , , , , , , ,5,6, , , , , , , ,6, ,6,5, , , , , , , ,6, ,96, , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,13,7,6,20, , , , ,1,1,5,96, ,96, ,9996, ,3, ,96, , , , ,1,2,4, , , , ,1, ,1, , , , , , , , , ,1,1,4,5,11, , , , , ,2,3, , , , , , , ,1, ,2, , , , , ,3, ,3, , , , , , ,3, , , , , , ,2, , , , ,90, , , , ,1,3, , , ,2, , , ,1,1,26,23,1,20,27,2,10, , ,1, , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , ,6,8,12, , , , , ,6, ,8, ,6, ,7, ,2,3,2,2,1,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,1,2,7,21, , ,2,0,96,13,8,9,11,5,4,10, , , , ,6,3, , ,2,2,2,1, ,96, , , ,3005,1,300,1,1,7, ,2,21,.241836191436105
102,1,1,29,1,1,6, , , , , , , ,90, , , , , , , , , , ,90, , , , , , , , ,90, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , ,6,6,6,1, ,90, ,313, ,90, ,3, , , , ,90, , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,3, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,10, , , , , , , ,10, ,10, ,3, ,1, ,1,1,1,1,1,1,1,1,1,1,1,1,96,96,96,2,96,96,96,96,96,96,2,2,96,96,2,2,3,22, , ,5,0,2,4,1, , , , , , ,1, , ,3, , , , , , , , , , , , ,1010,6,100,1,2,1, ,2,22,1.9384124426296
105,1,1,44,1,6,1, , , , , , , ,1,6, , , , , , , ,6, ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,8,1,6,2, , , , ,6,5,6,1, ,90, ,302, ,2, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,2, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,9, , , , , , ,9, ,1, ,9, ,3, ,1,1,1,1,1,1,1,1,1,1,1,1,96,2,96,2,2,96,2,2,2,2,3,3,2,96,2,1,4,3, ,5,3,0,4,4,1,6, , , , , ,1, , ,3, ,1, , , , , , , , , , ,1010,5,100,1,2,4,5,1,3,1.49247575927602
171,3,3,38,2,6,2,3, , , , , , ,2,6, , , , , , , ,2, ,2, , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,2,8, , , , , ,6,6,6,1, ,1, ,401, ,1, ,3, , , , ,1, , , , , , ,1, ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,3, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1,10, , , , , , ,1, ,1, ,3, ,96, ,1,1,1,1,96,96,96,96,96,2,2,96,96,2,96,2,4,96,96,96,96,96,3,3,96,96,2,1,3,20, , ,5,2,4,7,1,8,4,5, , , ,1, , ,3,1, ,2,2, , , , , , , , ,1005,6,200,2,2,1, ,1,20,1.95139270074677
824,2,2,41,2,4,6,1, , , , , , ,6, , , , , , , , ,6, ,6,1,4, , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,13,1,10,8, , , , ,5,2,4,1, ,1, ,9995, ,1, ,1, ,96,999996, ,1, , , , , , ,1, ,3, , , , , , , , , ,1,1,5,6, , , , , , ,2, , , , , , , , ,1, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,3,6,8,10,11, , ,1, ,1, ,3, ,6, ,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,7,19, ,98,5,2,4,9,1,4,6, , , , ,1, , ,3, ,1, , ,1, , , , , , , ,1009,6,100,2,5,7,96,2,19,1.30255184295822
849,2,2,41,2,4,6,1, , , , , , ,1,6, , , , , , , ,1, ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,2,8, , , , , ,96,5,5,1, ,1, ,209, ,3, ,3, , , , ,1, , , , , , ,1, ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,3, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3, , , , , , ,1, ,1, ,3, ,10, ,1,1,1,1,96,96,96,96,96,1,1,96,96,1,1,1,1,96,96,96,96,96,1,1,96,96,2,1,3,20, , ,3,0,4,4,1,9,6, , , , ,1, , ,3, ,1, , ,1, , , , , , , ,1001,6,100,2,2,1, ,1,20,1.30255184295822
902,5,5,87,1,1,3,6, , , , , , ,3,6, , , , , , , ,6, ,3,6, , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,26,13, , , , , ,5,5,3,1, ,90, ,9995, ,3, ,3, , , , ,1,3, , , , , ,1, ,5, , , , , , , , , ,1,2,10, , , , , , , ,5, , , , , , , , ,3, ,1, , , , , ,1, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,2,18, , , , , , , , ,18, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,8, , , , , ,8, ,7, ,8, ,6, ,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,21, , ,3,0,4,4,1,8,6, , , , ,1, , ,3, ,1, ,1, , , , , , , , ,4005,1,400,1,1,7, ,2,21,.738829661745135
1006,5,11,58,2,4,6,2,5, , , , , ,2,4,5,6, , , , , ,5, ,2,6,5, , , , , , ,5, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,13,3,25,2, , , ,6,6,6,1, ,1, ,9995, ,1, ,3, , , , ,1, , , , , , ,1, ,5, , , , , , , , , ,1,3,9, , , , , , , ,1,2, , , , , , , ,96, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,13,10,6,27,22,8,23, , ,6,8,10,13,27, , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,8, , , , , , , ,8, ,1, ,3, ,10, ,1,1,1,1,1,1,1,1,1,1,1,1,1,96,96,2,96,96,96,96,96,96,2,96,96,96,1,1,7,15, ,98,3,0,4,7,1,4,5,9, , , ,1, , ,3,1, ,1, ,2, , , , , , , ,4005,4,300,2,1,7,96,1,15,.356868574191735
1009,5,5,74,1,1,6,3, , , , , , ,1,3,6, , , , , , ,6, ,6, , , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1,2,7,26, , , ,6,6,1,1, ,1, ,9995, ,1, ,3, , , , ,1,3, , , , , ,1, ,3, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,1, ,1, , , , , ,1, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,27, , , , , , , , ,27, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,8, , , , , ,8, ,96, ,1, ,3, ,96,3,3,3,3,2,2,2,2,3,3,2,3,2,96,2,2,2,2,2,2,2,96,96,96,96,2,1,7,6, ,96,5,1,4,6,1,4,8, , , , ,1, , ,3, ,1, ,1, , , , , , , , ,4005,2,400,1,2,7,96,1,6,.745192079610833
1408,16,16,60,1,1,5,6,4, , , , , ,1,5,6, , , , , , ,6, ,5,6, , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,14,25,13,2, , ,6,1,1,1, ,1, ,9995, ,1, ,1, ,2,500, ,1,2, , , , , ,1, ,1, , , , , , , , , ,1,5,7, , , , , , , ,1,5, , , , , , , ,2, ,3, , , , , ,1, ,1,3, , , , , ,3, , , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , ,1,2,10,27,9,7,26,6,4,18, ,6,18, , , , , , , ,1,7,11, , , , , , , ,4,8, , , , , , , ,1000,1, , , ,1,2,6,8, , , , , ,6, ,5, ,3, ,96, ,1,1,1,3,1,2,1,1,1,1,4,4,4,3,2,3,3,2,2,2,3,3,3,3,3,3,2,2,5,18, ,7,3,1,4,6,1,4,9,5, , , ,1, , ,3,3,1, , ,1, , , , , , , ,6001,4,600,1,2,5,7,2,18,1.12035328094389
2318,6,6,46,2,1,3,6,8, , , , , ,1,3,6,8, , , , , ,1, ,1,6,3, , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4,94, , , , , , ,非付費電影, , , , , , , , , ,7,20,26,8,4,10,6,5,6,6,5,1, ,1, ,1505, ,1, ,96, , , , ,1,3,5, , , , ,1, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,2, ,90, , , , , ,2, ,1,2,3, , , , ,1,2,3, , , , ,90, , , , , , , , , ,1, , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1, , , , , , , ,1, ,96, ,1, ,3, ,1,1,1,1,1,1,1,1,1,2,3,1,1,2,2,2,2,2,96,2,2,2,2,96,96,2,2,1,3,94,志工,3,3,0,4,8,1,11,4,7, , , ,1, , ,3, , ,1,1, , ,1, , , , , ,5004,5,500,2,2,1,3,1,94,1.4089702362934
3250,16,16,62,2,3,6,1, , , , , , ,1,6, , , , , , , ,6, ,1,6, , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,1,6, , , , , , ,1,1,6,1, ,2, ,1901, ,2, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,2, ,1, , , , , ,2, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,23,5,20, , , , , , ,20, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,6, , ,3, , , , , , , ,3, ,1, ,3, ,4, ,1,2,2,2,1,1,1,1,1,1,2,1,1,2,3,4,3,4,4,3,4,3,96,4,4,4,2,1,5,19, ,98,3,0,4,4,1,8,6, , , , ,1, , ,3, ,1, ,1, , , , , , , , ,1002,3,600,2,2,5,96,1,19,1.08683069525413
3255,16,16,52,1,3,1,6, , , , , , ,1,6, , , , , , , ,6, ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,6,1,6,1, ,1, ,1901, ,1, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,3, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,2,22,25,5,24, , , , , ,22,24,25, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,5, , ,1,3,4, , , , , ,3, ,6, ,9, ,1, ,1,1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,2,1,7,19, ,98,3,0,4,6,1,8,4, , , , ,1, , ,3, ,2, ,1, , , , , , , , ,1002,4,600,1,2,7,96,1,19,1.12035328094389
5124,4,3,58,1,4,1,6, , , , , , ,1,4,6, , , , , , ,6, ,6, , , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,27,8,1,6,2,23, , ,1,1,2,96, ,96, ,9996, ,3, ,96, , , , ,1,4, , , , , ,1, ,3, , , , , , , , , ,1,5,6, , , , , , , ,4, , , , , , , , ,3, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,1,11,25,12,4,5,26, , ,11,25, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,6,7, , , , , ,7, ,3, ,2, ,1, ,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,1,5,19, ,98,3,0,4,6,1,4,9, , , , ,1, , ,3, ,1, , ,1, , , , , , , ,3002,4,200,1,2,5,96,1,19,1.27198991522259
5506,11,11,41,2,6,1, , , , , , , ,1,6, , , , , , , ,96, ,90, , , , , , , , ,90, ,98, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,8, , , , , , ,5,6,6,1, ,96, ,9996, ,96, ,96, , , , ,90, , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , ,96, ,96, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,94, , ,可以接可以打管它什麼系統,98, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,10, , , , , , ,1, ,1, ,10, ,96, ,96,96,96,96,96,96,96,96,96,3,3,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,5,1,4,20, , ,3,0,4,6,1,4, , , , , ,1, , ,3, ,1, , , , , , , , , , ,3007,6,300,2,5,4, ,1,20,.500581776956041
